episode,variant,seed,model_tag,steps,arrive_dest,EpCost,cost_events,CostRate,mean_pain,trigger_rate,mean_longitudinal_delta,steering_limit_rate
0,baseline,0,paper_1m_20260629_qpsl_seed0,247,1.0,12.0,12,0.048582995951417005,0.0,0.0,0.0,0.0
1,baseline,0,paper_1m_20260629_qpsl_seed0,299,1.0,32.0,32,0.10702341137123746,0.0,0.0,0.0,0.0
2,baseline,0,paper_1m_20260629_qpsl_seed0,350,1.0,11.0,11,0.03142857142857143,0.0,0.0,0.0,0.0
3,baseline,0,paper_1m_20260629_qpsl_seed0,243,1.0,28.0,28,0.11522633744855967,0.0,0.0,0.0,0.0
4,baseline,0,paper_1m_20260629_qpsl_seed0,248,1.0,15.0,15,0.06048387096774194,0.0,0.0,0.0,0.0
5,baseline,0,paper_1m_20260629_qpsl_seed0,242,1.0,3.0,3,0.012396694214876033,0.0,0.0,0.0,0.0
6,baseline,0,paper_1m_20260629_qpsl_seed0,253,1.0,4.0,4,0.015810276679841896,0.0,0.0,0.0,0.0
7,baseline,0,paper_1m_20260629_qpsl_seed0,236,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0
8,baseline,0,paper_1m_20260629_qpsl_seed0,197,0.0,19.0,19,0.09644670050761421,0.0,0.0,0.0,0.0
9,baseline,0,paper_1m_20260629_qpsl_seed0,335,1.0,9.0,9,0.026865671641791045,0.0,0.0,0.0,0.0
10,baseline,0,paper_1m_20260629_qpsl_seed0,231,1.0,7.0,7,0.030303030303030304,0.0,0.0,0.0,0.0
11,baseline,0,paper_1m_20260629_qpsl_seed0,121,0.0,1.0,1,0.008264462809917356,0.0,0.0,0.0,0.0
12,baseline,0,paper_1m_20260629_qpsl_seed0,225,1.0,7.0,7,0.03111111111111111,0.0,0.0,0.0,0.0
13,baseline,0,paper_1m_20260629_qpsl_seed0,288,1.0,20.0,20,0.06944444444444445,0.0,0.0,0.0,0.0
14,baseline,0,paper_1m_20260629_qpsl_seed0,234,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0
15,baseline,0,paper_1m_20260629_qpsl_seed0,296,1.0,18.0,18,0.060810810810810814,0.0,0.0,0.0,0.0
16,baseline,0,paper_1m_20260629_qpsl_seed0,342,1.0,3.0,3,0.008771929824561403,0.0,0.0,0.0,0.0
17,baseline,0,paper_1m_20260629_qpsl_seed0,339,1.0,1.0,1,0.0029498525073746312,0.0,0.0,0.0,0.0
18,baseline,0,paper_1m_20260629_qpsl_seed0,291,1.0,17.0,17,0.058419243986254296,0.0,0.0,0.0,0.0
19,baseline,0,paper_1m_20260629_qpsl_seed0,259,1.0,6.0,6,0.023166023166023165,0.0,0.0,0.0,0.0
