episode,variant,seed,model_tag,steps,arrive_dest,EpCost,cost_events,CostRate,mean_pain,trigger_rate,mean_longitudinal_delta,steering_limit_rate
0,longitudinal,2,paper_1m_20260629_qpsl_seed2,312,0.0,10.0,10,0.03205128205128205,0.30104447735559015,0.2980769230769231,0.17486424839649445,0.0
1,longitudinal,2,paper_1m_20260629_qpsl_seed2,582,1.0,11.0,11,0.018900343642611683,0.7778757690644492,0.7835051546391752,0.46751010825071815,0.0
2,longitudinal,2,paper_1m_20260629_qpsl_seed2,267,1.0,16.0,16,0.0599250936329588,0.4144416281186401,0.4044943820224719,0.237312582251703,0.0
3,longitudinal,2,paper_1m_20260629_qpsl_seed2,277,1.0,7.0,7,0.02527075812274368,0.4873412851479185,0.48375451263537905,0.2968978915457691,0.0
4,longitudinal,2,paper_1m_20260629_qpsl_seed2,412,0.0,10.0,10,0.024271844660194174,0.46293591757030067,0.4684466019417476,0.23514806470632818,0.0
5,longitudinal,2,paper_1m_20260629_qpsl_seed2,312,1.0,9.0,9,0.028846153846153848,0.5911851610093792,0.5897435897435898,0.3704518600740509,0.0
6,longitudinal,2,paper_1m_20260629_qpsl_seed2,357,1.0,13.0,13,0.036414565826330535,0.8275692570135388,0.8235294117647058,0.5085325940128635,0.0
7,longitudinal,2,paper_1m_20260629_qpsl_seed2,373,1.0,21.0,21,0.05630026809651475,0.8428272385607725,0.839142091152815,0.5062976562481714,0.0
8,longitudinal,2,paper_1m_20260629_qpsl_seed2,246,1.0,0.0,0,0.0,0.28171552200952693,0.2764227642276423,0.15353360680514963,0.0
9,longitudinal,2,paper_1m_20260629_qpsl_seed2,178,1.0,0.0,0,0.0,0.18837326842612273,0.1853932584269663,0.11432935029603122,0.0
10,longitudinal,2,paper_1m_20260629_qpsl_seed2,291,1.0,12.0,12,0.041237113402061855,0.50638833666323,0.5051546391752577,0.3041987880501141,0.0
11,longitudinal,2,paper_1m_20260629_qpsl_seed2,319,1.0,5.0,5,0.01567398119122257,0.41367383866490787,0.40752351097178685,0.2460271274834451,0.0
12,longitudinal,2,paper_1m_20260629_qpsl_seed2,275,1.0,13.0,13,0.04727272727272727,0.470537181523667,0.46545454545454545,0.2739550795719366,0.0
13,longitudinal,2,paper_1m_20260629_qpsl_seed2,315,1.0,7.0,7,0.022222222222222223,0.4568897909631533,0.4507936507936508,0.2702062216210401,0.0
14,longitudinal,2,paper_1m_20260629_qpsl_seed2,264,1.0,0.0,0,0.0,0.44161807802512426,0.4393939393939394,0.25879899093838915,0.0
15,longitudinal,2,paper_1m_20260629_qpsl_seed2,315,1.0,7.0,7,0.022222222222222223,0.45392671782855204,0.4507936507936508,0.27698288777259195,0.0
16,longitudinal,2,paper_1m_20260629_qpsl_seed2,419,1.0,15.0,15,0.03579952267303103,0.8582904046109774,0.8544152744630071,0.534572230812011,0.0
17,longitudinal,2,paper_1m_20260629_qpsl_seed2,291,1.0,4.0,4,0.013745704467353952,0.5228605887596603,0.5292096219931272,0.2994891230746643,0.0
18,longitudinal,2,paper_1m_20260629_qpsl_seed2,413,1.0,7.0,7,0.01694915254237288,0.8039339077997782,0.7966101694915254,0.48291984143933014,0.0
19,longitudinal,2,paper_1m_20260629_qpsl_seed2,312,1.0,14.0,14,0.04487179487179487,0.6196269674536715,0.6217948717948718,0.39065712102008265,0.0
