algo,candidate,frontend,seed_count,success_rate,success_rate_std,clean_success_rate,clean_success_rate_std,mean_reward,mean_reward_std,mean_episode_cost,mean_episode_cost_std,mean_cost_rate,mean_cost_rate_std,crash_rate,crash_rate_std,out_of_road_rate,out_of_road_rate_std,out_of_time_rate,out_of_time_rate_std,intervention_ratio,intervention_ratio_std,mean_action_distortion,mean_action_distortion_std
epo,nocicim_close_range,nocicim_risk_field,5,0.66,0.10246950765959595,0.21,0.09617692030835671,275.82296285051757,37.391137569702686,3.91,2.1850057208163096,0.013345805180432838,0.004110210180718858,0.62,0.19235384061671346,0.32,0.12549900398011132,0.0,0.0,0.17942478663439215,0.06721582333949626,0.11924202371221446,0.05074775271994525
epo,nocicim_conservative_clean,nocicim_risk_field,5,0.79,0.022360679774997918,0.3,0.08660254037844385,305.0748670423351,12.969180428546311,4.05,1.457737973711325,0.013109140095703575,0.002722493228918743,0.6,0.1322875655532295,0.2,0.03535533905932738,0.0,0.0,0.0014173122271715374,0.000643390780332381,0.00013834574995801881,6.392321069450723e-05
epo,nocicim_cost_guard,nocicim_risk_field,5,0.65,0.13693063937629155,0.25,0.07071067811865475,271.28169923612455,43.3028731957037,2.9,1.98210746429148,0.009316299888423777,0.002858561468166798,0.5700000000000001,0.20186629238186352,0.27,0.09746794344808964,0.0,0.0,0.23185036909568876,0.0963600683364177,0.24580436864838073,0.0985782698503764
epo,nocicim_crash_aware_route,nocicim_risk_field,5,0.79,0.04183300132670378,0.32,0.06708203932499368,305.98242111992954,18.930126947231514,3.58,1.3622591530248567,0.011557724222512054,0.0032720825625383297,0.56,0.09617692030835671,0.2,0.03535533905932738,0.0,0.0,0.0046289727882964544,0.0011405923755168136,0.0009173372217100756,0.000228676124378151
epo,nocicim_memory_confirmed_stop,nocicim_risk_field,5,0.8,0.061237243569579464,0.32,0.07582875444051551,303.3133110571141,18.741030906695645,4.04,1.2496999639913573,0.012983579591310046,0.0023475526270004127,0.5700000000000001,0.11510864433221336,0.19,0.05477225575051661,0.0,0.0,0.0077851407229371575,0.0032468633558013107,0.0011491015900425452,0.0004843348872026665
epo,nocicim_micro_guard,nocicim_risk_field,5,0.77,0.05700877125495691,0.29,0.06519202405202647,307.2814445394668,17.09310647427495,4.33,1.4411800720243115,0.01257792958818733,0.002949845905879115,0.63,0.057008771254956875,0.2,0.06123724356957945,0.0,0.0,0.05495401205128437,0.02175182117561854,0.015654409463311335,0.004299046797911375
epo,nocicim_risk_gated_micro_guard,nocicim_risk_field,5,0.8,0.061237243569579464,0.32,0.07582875444051551,303.3133110571141,18.741030906695645,4.04,1.2496999639913573,0.012983579591310046,0.0023475526270004127,0.5700000000000001,0.11510864433221336,0.19,0.05477225575051661,0.0,0.0,0.0077851407229371575,0.0032468633558013107,0.0011491015900425452,0.0004843348872026665
epo,nocicim_route_preserve,nocicim_risk_field,5,0.6900000000000001,0.18506755523321747,0.27,0.05700877125495689,285.22154156169415,52.19812330965211,4.01,1.454475850607359,0.015352190646907246,0.002690404735866702,0.58,0.15247950681976905,0.31,0.18506755523321747,0.0,0.0,0.11919730045511694,0.06368398779880045,0.039697489695928054,0.015695809153527668
epo,nocicim_soft_crash_guard,nocicim_risk_field,5,0.79,0.022360679774997918,0.31,0.09617692030835673,303.9895260646403,14.461788960048615,4.01,1.7928329537355117,0.012995100987941833,0.003514316406999083,0.6,0.1322875655532295,0.2,0.03535533905932738,0.0,0.0,0.003657063390781177,0.0020456308037739165,0.001008504644571159,0.0005738603956305032
epo,nocicim_soft_front_trim,nocicim_risk_field,5,0.77,0.0758287544405155,0.28,0.10368220676663861,303.5212429222344,20.675208640576383,3.7,1.2859821149611685,0.011778892693146841,0.003062755679191236,0.62,0.08366600265340754,0.22,0.0758287544405155,0.0,0.0,0.007197909975083149,0.0037964890747266603,0.012818332701299603,0.0075990115053671085
epo,none,none,5,0.77,0.02738612787525833,0.29,0.0821583836257749,301.5614700798467,15.284460342888911,3.9499999999999997,1.1958260743101397,0.013406275624131967,0.00241105640393103,0.61,0.11401754250991379,0.22,0.0273861278752583,0.0,0.0,0.0,0.0,0.0,0.0
fac,nocicim_close_range,nocicim_risk_field,5,0.62,0.10368220676663858,0.29,0.07416198487095663,288.04924850232914,15.497275860384779,2.59,1.3135828866120325,0.0078596087460001,0.0024925709995207357,0.53,0.16431676725154987,0.32,0.13509256086106297,0.0,0.0,0.13749536931462383,0.037290222965048324,0.10275200707001875,0.06119190748780787
fac,nocicim_conservative_clean,nocicim_risk_field,5,0.61,0.09617692030835671,0.24,0.05477225575051661,282.1338398854551,19.43470443424079,3.52,0.8707755164219996,0.010456411405387611,0.0023068178118853303,0.54,0.12942179105544785,0.33999999999999997,0.07416198487095663,0.0,0.0,0.0012973838637402757,0.0012990692433013013,0.00012700761106335906,0.00012916253556785677
fac,nocicim_cost_guard,nocicim_risk_field,5,0.61,0.0821583836257749,0.37,0.10954451150103323,279.44334530804605,9.398314354470042,1.93,0.7353570561298776,0.006191709301154653,0.0022710090846252678,0.42,0.08366600265340758,0.29,0.08944271909999157,0.0,0.0,0.17356533785263512,0.02624119386849132,0.1790917101085669,0.051921992336593926
fac,nocicim_crash_aware_route,nocicim_risk_field,5,0.61,0.07416198487095663,0.24,0.05477225575051661,280.79666980948565,17.5128964987561,3.2800000000000002,1.050951949424901,0.010349889787501189,0.002785557557607731,0.5499999999999999,0.1322875655532295,0.33999999999999997,0.05477225575051661,0.0,0.0,0.005116740582542038,0.002818418438157713,0.0009824226841912815,0.0005411014429125881
fac,nocicim_memory_confirmed_stop,nocicim_risk_field,5,0.59,0.11937336386313323,0.24,0.0821583836257749,281.66539673562,19.96641246740361,3.34,0.8820430828479978,0.009828515647723787,0.0025625518091683965,0.55,0.13693063937629152,0.33999999999999997,0.08944271909999159,0.0,0.0,0.004835981822162952,0.0034832873517302576,0.0006934468278550341,0.0005114245193291139
fac,nocicim_micro_guard,nocicim_risk_field,5,0.6,0.04999999999999999,0.25,0.03535533905932737,282.5764627834602,11.18893143274772,3.94,1.1030639147393047,0.011355157761975977,0.0030304150071170806,0.52,0.10368220676663858,0.38,0.02738612787525833,0.0,0.0,0.03665380954561411,0.011867353371540037,0.016655976073385814,0.017909437269516142
fac,nocicim_risk_gated_micro_guard,nocicim_risk_field,5,0.59,0.11937336386313323,0.24,0.0821583836257749,281.66539673562,19.96641246740361,3.34,0.8820430828479978,0.009828515647723787,0.0025625518091683965,0.55,0.13693063937629152,0.33999999999999997,0.08944271909999159,0.0,0.0,0.004835981822162952,0.0034832873517302576,0.0006934468278550341,0.0005114245193291139
fac,nocicim_route_preserve,nocicim_risk_field,5,0.54,0.12942179105544782,0.22,0.0758287544405155,271.4412136844724,25.169131637116184,2.98,0.8885381252371786,0.00962619505000469,0.0014126441962924892,0.49,0.1596871942267131,0.41000000000000003,0.16355427233796127,0.0,0.0,0.06566672591238598,0.022270762089376155,0.022774575575082598,0.013029405769185801
fac,nocicim_soft_crash_guard,nocicim_risk_field,5,0.58,0.11510864433221336,0.25,0.06123724356957945,279.9517365767076,21.164630670235066,3.23,0.43387786299833275,0.009975702176250224,0.00193954508078413,0.53,0.13509256086106294,0.37,0.07582875444051551,0.0,0.0,0.0037070916138621833,0.002800985684872367,0.001014760520473014,0.0007800219541529833
fac,nocicim_soft_front_trim,nocicim_risk_field,5,0.59,0.14747881203752625,0.25,0.07071067811865475,280.04677918118045,24.19994573572978,3.14,1.1243887228178697,0.009781806712494397,0.0027170748608999406,0.53,0.14832396974191325,0.35,0.09354143466934854,0.0,0.0,0.0067349352756615926,0.006492674637143156,0.011853159298191125,0.013272647655634892
fac,none,none,5,0.63,0.10368220676663858,0.24,0.05477225575051661,284.31194210529077,20.193671297249935,3.5,0.968891118753805,0.010455287724939638,0.0021482549532482933,0.54,0.12942179105544785,0.33,0.07582875444051551,0.0,0.0,0.0,0.0,0.0,0.0
lag,nocicim_close_range,nocicim_risk_field,5,0.76,0.09617692030835674,0.22,0.044721359549995794,312.84060773757346,16.922912731034813,3.59,1.0661847869858205,0.0111632161565715,0.0029200515278064868,0.66,0.10839741694339401,0.24,0.07416198487095663,0.0,0.0,0.12496776697901797,0.0184975954310354,0.07675527702968378,0.01270590104625175
lag,nocicim_conservative_clean,nocicim_risk_field,5,0.75,0.11180339887498948,0.21,0.11937336386313321,305.52817402701,23.434721023189038,5.35,1.7899022319668747,0.01766281031363234,0.00619930735344096,0.72,0.15247950681976907,0.24000000000000002,0.08944271909999159,0.0,0.0,0.00038087897075415606,0.00026215845387558926,3.798568437937299e-05,2.6083666905018518e-05
lag,nocicim_cost_guard,nocicim_risk_field,5,0.74,0.05477225575051661,0.25,0.061237243569579436,297.4654175004766,12.203396511713802,4.97,3.1242199026316952,0.011759267359997808,0.0029301291465942455,0.67,0.10368220676663861,0.18,0.08366600265340755,0.0,0.0,0.15810849145877537,0.03994540167564098,0.16905928620238694,0.07926167427541407
lag,nocicim_crash_aware_route,nocicim_risk_field,5,0.75,0.09354143466934854,0.21,0.12449899597988731,306.25011639997234,22.224873503433532,4.88,1.694697613145189,0.016052572363390513,0.00547848644983141,0.71,0.15165750888103102,0.24,0.07416198487095663,0.0,0.0,0.003642466609968821,0.001117273865738117,0.00070979746432674,0.00022476983366356737
