algo,candidate,frontend,seed_count,success_rate,success_rate_std,clean_success_rate,clean_success_rate_std,mean_reward,mean_reward_std,mean_episode_cost,mean_episode_cost_std,mean_cost_rate,mean_cost_rate_std,crash_rate,crash_rate_std,out_of_road_rate,out_of_road_rate_std,out_of_time_rate,out_of_time_rate_std,intervention_ratio,intervention_ratio_std,mean_action_distortion,mean_action_distortion_std
epo,nocicim_crash_aware_route,nocicim_risk_field,5,0.714,0.07436396977031284,0.2,0.0,305.0622497530488,15.643067512942144,4.954,0.7638586256631524,0.016091103485159974,0.001956266682072172,0.702,0.03492849839314594,0.27,0.073824115301167,0.0,0.0,0.0062774286300753,0.001559845308453973,0.001232045607691197,0.0003125938305994163
epo,none,none,5,0.7000000000000001,0.07035623639735145,0.196,0.011401754250991382,302.83982384471716,14.009818846563013,5.028,0.697151346552526,0.016409097406092473,0.0012065530582427155,0.71,0.04415880433163923,0.284,0.06913754406977442,0.0,0.0,0.0,0.0,0.0,0.0
fac,nocicim_monitor_only,nocicim_risk_field,5,0.574,0.06465291950097846,0.214,0.03130495168499706,282.5875896971986,15.031176329983408,3.306,0.8931853111197027,0.010380305918053235,0.0016028326497307078,0.5720000000000001,0.044384682042344276,0.384,0.045607017003965515,0.0,0.0,0.0,0.0,0.0,0.0
fac,none,none,5,0.574,0.06465291950097846,0.214,0.03130495168499706,282.58854956928724,15.032491751823562,3.3000000000000003,0.8997777503361595,0.0103700233182474,0.001618702911576591,0.5720000000000001,0.044384682042344276,0.384,0.045607017003965515,0.0,0.0,0.0,0.0,0.0,0.0
lag,nocicim_close_range,nocicim_risk_field,5,0.71,0.06633249580710801,0.208,0.044384682042344296,307.8755413978682,11.976602207429558,4.27,1.088691875601173,0.012106702023283188,0.0031487887187146477,0.706,0.07924645102463583,0.23399999999999999,0.07602631123499284,0.0,0.0,0.13628747057479804,0.02236540364290419,0.10444336546507112,0.02668239502033808
lag,none,none,5,0.724,0.068044103344816,0.202,0.045497252664309304,306.72016569689276,14.316184858107102,5.416,1.4897583696693903,0.017503314369426547,0.005411519927082818,0.718,0.07362064927722387,0.256,0.05983310120660636,0.0,0.0,0.0,0.0,0.0,0.0
qpsl,nocicim_soft_crash_guard,nocicim_risk_field,5,0.816,0.0753657747256671,0.09,0.03391164991562634,329.3679534217647,9.403896227269957,16.456,1.6062783071435662,0.05111738445475498,0.004998409519761841,0.872,0.035637059362410954,0.196,0.0763544366752843,0.0,0.0,0.003332509160509001,0.0008886904014354086,0.0009136224724499405,0.0002440865644336769
qpsl,none,none,5,0.8119999999999999,0.07563068160475617,0.08600000000000001,0.033615472627943226,327.68873758530907,8.718039048609429,16.108,1.5879609566988724,0.049973674057988145,0.004017485786050699,0.872,0.03271085446759228,0.19,0.07648529270389177,0.0,0.0,0.0,0.0,0.0,0.0
rec,nocicim_route_preserve,nocicim_risk_field,5,0.768,0.085848704125339,0.082,0.013038404810405297,314.3767189306748,19.303843193307767,15.048,1.7039571590858735,0.04174989466014495,0.0050029442733621685,0.834,0.04615192303685729,0.232,0.07463243262818117,0.0,0.0,0.1000519962512802,0.026915756902872255,0.061355748799462706,0.012024990724571439
rec,none,none,5,0.746,0.0844393273303382,0.078,0.024899799195977464,310.4498596782658,18.24620150751765,15.528,2.587454347423351,0.04686858733104424,0.007310122231131514,0.838,0.04147288270665543,0.26,0.0824621125123532,0.0,0.0,0.0,0.0,0.0,0.0
td3,nocicim_soft_front_trim,nocicim_risk_field,5,0.7939999999999999,0.03974921382870356,0.092,0.02588435821108957,322.5145171016549,7.529200222303979,16.508000000000003,1.541109989585429,0.04683233312696085,0.004848146829058219,0.854,0.032863353450309954,0.196,0.035071355833500364,0.0,0.0,0.03765767093799267,0.010052773017968234,0.071067021116043,0.01798603888137327
td3,none,none,5,0.7919999999999999,0.06978538528947162,0.092,0.02863564212655271,323.9380629829379,11.389084048132489,17.291999999999998,2.0783575245852197,0.05643428855784797,0.00648763418287525,0.856,0.03911521443121588,0.226,0.0589915248150105,0.0,0.0,0.0,0.0,0.0,0.0
