algo,train_seed,candidate,frontend,success_rate,clean_success_rate,mean_reward,mean_episode_cost,mean_cost_rate,crash_rate,out_of_road_rate,out_of_time_rate,intervention_ratio,mean_action_distortion
td3,0,none,none,0.83,0.1,327.3409987808496,16.74,0.0532927900209478,0.86,0.18,0.0,0.0,0.0
td3,0,nocicim_soft_front_trim,nocicim_risk_field,0.78,0.1,320.524210494879,16.69,0.04539572163346467,0.86,0.21,0.0,0.04381560198962241,0.08063570533322639
td3,1,none,none,0.74,0.09,312.22458648240917,16.47,0.055521605667664196,0.86,0.27,0.0,0.0,0.0
td3,1,nocicim_soft_front_trim,nocicim_risk_field,0.82,0.1,326.74613778211074,17.67,0.049573265009223946,0.85,0.18,0.0,0.030794879052302524,0.05965362628947633
td3,2,none,none,0.87,0.09,338.71970995794885,18.41,0.05981646357611613,0.88,0.16,0.0,0.0,0.0
td3,2,nocicim_soft_front_trim,nocicim_risk_field,0.82,0.09,329.65339925007044,17.62,0.052887657289370796,0.88,0.18,0.0,0.029384709845188862,0.05567453738422284
td3,3,none,none,0.7,0.05,312.62090287286503,20.16,0.06531402285256188,0.89,0.3,0.0,0.0,0.0
td3,3,nocicim_soft_front_trim,nocicim_risk_field,0.73,0.05,310.41058694953495,16.67,0.04636906303237913,0.88,0.25,0.0,0.05240505219630678,0.09821500156889745
td3,4,none,none,0.82,0.13,328.78411682061665,14.68,0.04822656067194983,0.79,0.22,0.0,0.0,0.0
td3,4,nocicim_soft_front_trim,nocicim_risk_field,0.82,0.12,325.2382510316795,13.89,0.03993595867036571,0.8,0.16,0.0,0.03188811160654277,0.06115623500439199
epo,0,none,none,0.67,0.18,292.3673859205463,4.71,0.015398236889280723,0.7,0.31,0.0,0.0,0.0
epo,0,nocicim_crash_aware_route,nocicim_risk_field,0.69,0.2,292.0561282601177,4.59,0.01485913385835524,0.68,0.29,0.0,0.006708999826145178,0.001317326795549556
epo,1,none,none,0.76,0.19,314.43502419319594,6.09,0.017397378792644837,0.77,0.21,0.0,0.0,0.0
epo,1,nocicim_crash_aware_route,nocicim_risk_field,0.79,0.2,316.5529679090048,5.92,0.017063206832111794,0.75,0.18,0.0,0.006664310427476266,0.0013146058645820873
epo,2,none,none,0.64,0.2,300.1257425853154,4.77,0.01528132895000906,0.7,0.35,0.0,0.0,0.0
epo,2,nocicim_crash_aware_route,nocicim_risk_field,0.68,0.2,308.31382644665655,4.14,0.013348735585080183,0.7,0.31,0.0,0.005750392888700929,0.001130140348783971
epo,3,none,none,0.64,0.2,287.32065742260255,4.27,0.01601189509642981,0.65,0.34,0.0,0.0,0.0
epo,3,nocicim_crash_aware_route,nocicim_risk_field,0.62,0.2,285.9520888386045,4.52,0.01695272995281347,0.66,0.36,0.0,0.004001425465390408,0.000772338682110092
epo,4,none,none,0.79,0.21,319.95030910192565,5.3,0.01795664730209793,0.73,0.21,0.0,0.0,0.0
epo,4,nocicim_crash_aware_route,nocicim_risk_field,0.79,0.2,322.43623731086046,5.6,0.018231711197439188,0.72,0.21,0.0,0.008262014542663721,0.0016258163474302783
rec,0,none,none,0.85,0.07,331.14488047143413,19.23,0.057527037284380904,0.9,0.15,0.0,0.0,0.0
rec,0,nocicim_route_preserve,nocicim_risk_field,0.85,0.07,331.11990656713124,17.66,0.04953027006048291,0.89,0.15,0.0,0.08585155996331385,0.0545339276612085
rec,1,none,none,0.74,0.08,304.2961297373211,16.78,0.04911937725652511,0.81,0.27,0.0,0.0,0.0
rec,1,nocicim_route_preserve,nocicim_risk_field,0.75,0.1,310.7928606652731,14.82,0.03996612103976502,0.78,0.25,0.0,0.09281061977315762,0.05120280068680369
rec,2,none,none,0.81,0.12,326.3648054502517,13.51,0.04135538468306006,0.82,0.21,0.0,0.0,0.0
rec,2,nocicim_route_preserve,nocicim_risk_field,0.86,0.09,337.157076051192,13.78,0.036637001000091644,0.87,0.16,0.0,0.08367037072664459,0.0807748738724528
rec,3,none,none,0.68,0.06,303.8376141140558,12.81,0.03884987139677798,0.86,0.31,0.0,0.0,0.0
rec,3,nocicim_route_preserve,nocicim_risk_field,0.66,0.07,292.3695577176831,13.37,0.039086603642847655,0.83,0.32,0.0,0.09015331746763039,0.055199396570944935
rec,4,none,none,0.65,0.06,286.6058686182662,15.31,0.04749126603447712,0.8,0.36,0.0,0.0,0.0
rec,4,nocicim_route_preserve,nocicim_risk_field,0.72,0.08,300.44419365209455,15.61,0.043529477557537506,0.8,0.28,0.0,0.14777411332565454,0.0650677452059036
qpsl,0,none,none,0.69,0.07,317.04051299255485,14.63,0.04942301674582597,0.88,0.32,0.0,0.0,0.0
qpsl,0,nocicim_soft_crash_guard,nocicim_risk_field,0.69,0.08,316.48336375836897,15.77,0.05276631475204109,0.88,0.33,0.0,0.002809133714539054,0.0007639623507968037
qpsl,1,none,none,0.85,0.1,333.17909559250614,16.81,0.04952181812281066,0.88,0.14,0.0,0.0,0.0
qpsl,1,nocicim_soft_crash_guard,nocicim_risk_field,0.85,0.11,334.7954033759034,15.83,0.047032840178919205,0.87,0.17,0.0,0.003781219416714439,0.0010278077359014552
qpsl,2,none,none,0.83,0.13,326.55176650092585,14.78,0.04550598126650884,0.82,0.17,0.0,0.0,0.0
qpsl,2,nocicim_soft_crash_guard,nocicim_risk_field,0.82,0.13,325.1009390948826,15.52,0.047434225888196,0.82,0.18,0.0,0.0029487649361442147,0.0008228562476457787
qpsl,3,none,none,0.8,0.04,322.4880156843066,18.47,0.05652528824404465,0.91,0.19,0.0,0.0,0.0
qpsl,3,nocicim_soft_crash_guard,nocicim_risk_field,0.83,0.04,329.2581007677389,19.32,0.059088418723990656,0.92,0.16,0.0,0.00466432226173066,0.0012822505132560266
qpsl,4,none,none,0.89,0.09,339.18429715625194,15.85,0.04889226591075059,0.87,0.13,0.0,0.0,0.0
qpsl,4,nocicim_soft_crash_guard,nocicim_risk_field,0.89,0.09,341.20196011192974,15.84,0.049265122730627955,0.87,0.14,0.0,0.002459105473416637,0.0006712355146496385
lag,0,none,none,0.68,0.22,301.58675513096836,4.68,0.012716512535441904,0.68,0.25,0.0,0.0,0.0
lag,0,nocicim_close_range,nocicim_risk_field,0.7,0.18,300.8732440765484,4.17,0.01041662097983696,0.71,0.18,0.0,0.12520087095753593,0.07258524426280907
lag,1,none,none,0.78,0.22,316.311084198153,5.05,0.015858079003448898,0.71,0.21,0.0,0.0,0.0
lag,1,nocicim_close_range,nocicim_risk_field,0.77,0.21,322.05266255253633,3.96,0.010964743455057442,0.73,0.18,0.0,0.16662633559111142,0.1324580788193947
lag,2,none,none,0.79,0.19,322.8675502663108,5.63,0.018395520390706396,0.78,0.2,0.0,0.0,0.0
lag,2,nocicim_close_range,nocicim_risk_field,0.74,0.26,311.2526324446273,3.73,0.010951185442570004,0.69,0.2,0.0,0.14916003088206375,0.12471950324755195
lag,3,none,none,0.63,0.25,285.7299659894882,3.89,0.01413413295069744,0.62,0.35,0.0,0.0,0.0
lag,3,nocicim_close_range,nocicim_risk_field,0.6,0.24,291.2713698008277,3.35,0.010480154339007917,0.59,0.36,0.0,0.10848238603471598,0.08038563541619213
lag,4,none,none,0.74,0.13,307.1054728995434,7.83,0.026412326966838106,0.8,0.27,0.0,0.0,0.0
lag,4,nocicim_close_range,nocicim_risk_field,0.74,0.15,313.927798114801,6.14,0.017720805899943622,0.81,0.25,0.0,0.1319677294085631,0.11206836557940775
fac,0,none,none,0.54,0.2,266.5848606836995,2.66,0.00915779183238698,0.59,0.41,0.0,0.0,0.0
fac,0,nocicim_monitor_only,nocicim_risk_field,0.54,0.2,266.5848606836995,2.66,0.00915779183238698,0.59,0.41,0.0,0.0,0.0
fac,1,none,none,0.62,0.23,297.8314965124428,4.74,0.01241195782226886,0.64,0.37,0.0,0.0,0.0
fac,1,nocicim_monitor_only,nocicim_risk_field,0.62,0.23,297.8314965124428,4.74,0.01241195782226886,0.64,0.37,0.0,0.0,0.0
fac,2,none,none,0.59,0.2,277.9070951293793,3.06,0.010727358724570419,0.53,0.34,0.0,0.0,0.0
fac,2,nocicim_monitor_only,nocicim_risk_field,0.59,0.2,277.9070951293793,3.06,0.010727358724570419,0.53,0.34,0.0,0.0,0.0
fac,3,none,none,0.48,0.18,271.5489614183609,3.54,0.01119240948182477,0.56,0.45,0.0,0.0,0.0
fac,3,nocicim_monitor_only,nocicim_risk_field,0.48,0.18,271.5489614183609,3.54,0.01119240948182477,0.56,0.45,0.0,0.0,0.0
fac,4,none,none,0.64,0.26,299.07033410255383,2.5,0.008360598730185966,0.54,0.35,0.0,0.0,0.0
fac,4,nocicim_monitor_only,nocicim_risk_field,0.64,0.26,299.0655347421105,2.53,0.008412011729215145,0.54,0.35,0.0,0.0,0.0
