algo,total_steps,seed_count,EpRet_mean,EpRet_std,EpCost_mean,EpCost_std,CostRate_mean,CostRate_std
td3,10000,5,0.0,0.0,0.57,0.5239274758971895,0.00012001200120012002,8.36743700904166e-05
td3,20000,5,0.16,0.2043281674170255,13.47,6.100676192029863,0.029881494074703734,0.01126603044674095
td3,30000,5,0.25,0.1541103500742244,13.64,3.976713467173615,0.044288142938097935,0.014178323098218471
td3,40000,5,0.3,0.29790938219532465,14.71,10.392749876716941,0.04585114627865697,0.01526410493606993
td3,50000,5,0.45,0.18708286933869708,18.91,7.208796709576434,0.04604092081841637,0.01700770326537683
td3,60000,5,0.31,0.19493588689617927,12.29,6.763357154549803,0.046657444290738176,0.015460028938994431
td3,70000,5,0.39,0.07416198487095664,18.05,8.889881888979177,0.04593208474406777,0.015143196115243021
td3,80000,5,0.6,0.16955824957813168,22.54,5.114489221808959,0.0470130876635958,0.016123280399430267
td3,90000,5,0.6,0.1837117307087384,18.05,7.012756234177829,0.04904721163568484,0.015217519074287441
td3,100000,5,0.68,0.1396424004376894,21.69,6.488971413097765,0.05094250942509425,0.015389191223727375
td3,110000,5,0.65,0.15000000000000002,22.09,5.402013513496611,0.05213683760761462,0.015117601746335139
td3,120000,5,0.61,0.13416407864998736,21.43,6.5420371444986465,0.0528121067675564,0.015112738635511777
td3,130000,5,0.6900000000000001,0.15968719422671313,24.03,12.969608706510773,0.05350195001500011,0.01536282218742159
td3,140000,5,0.68,0.17175564037317667,19.77,7.725088996251111,0.05454038957421124,0.015662513722600625
td3,150000,5,0.7000000000000001,0.12247448713915889,21.94,7.339397114204953,0.05534703564690431,0.015287054229676984
td3,160000,5,0.69,0.15572411502397437,24.15,5.818075283115543,0.05597034981468634,0.014929259000607582
td3,170000,5,0.53,0.11510864433221339,18.689999999999998,8.08636197557344,0.05628150753827964,0.014547790420435025
td3,180000,5,0.66,0.18506755523321747,17.87,5.589342537365196,0.05647475819310107,0.013731504597014955
td3,190000,5,0.64,0.1884144368141677,21.25,4.692414090849187,0.05726030137000721,0.013646557069526255
td3,200000,5,0.67,0.09746794344808966,20.93,5.100441157390211,0.057441287206436036,0.013562029043683678
td3,210000,5,0.78,0.08366600265340758,20.6,3.586955533596701,0.05784503735732075,0.013435664385612358
