variant,alpha,beta,gamma,theta,k,lambda_brake,lambda_throttle,steering_limit_gain,min_steering_scale,trigger_threshold,eval_episodes,seed_count,source_count,complete,SuccessRate_mean,SuccessRate_ci95,EpCost_mean,EpCost_ci95,CostRate_mean,CostRate_ci95,mean_pain_mean,mean_pain_ci95,trigger_rate_mean,trigger_rate_ci95,mean_longitudinal_delta_mean,mean_longitudinal_delta_ci95,steering_limit_rate_mean,steering_limit_rate_ci95
baseline,0.92,0.45,0.08,0.45,12,0.35,0.35,0.5,0.35,0.5,20,5,5,true,0.9299999999999999,0.02400499947927511,15.78,2.8419324129894434,0.05614579153135807,0.008577732907607336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
longitudinal,0.88,0.35,0.06,0.4,12,0.2,0.35,0.5,0.35,0.5,20,5,5,true,0.86,0.019600000000000017,10.379999999999999,1.0006563046321146,0.03553253182287803,0.003190420396261352,0.5022363881125198,0.03631442599517759,0.4995908936311063,0.03813621886329836,0.23653393697043473,0.019821652451296357,0.0,0.0
longitudinal,0.88,0.35,0.06,0.4,12,0.3,0.35,0.5,0.35,0.5,20,5,5,true,0.9,0.06198064213930023,11.09,3.0938213523085007,0.03412834931652821,0.007050349104995501,0.5391066018522325,0.0291333268997054,0.5361751593149949,0.02998579427486491,0.30835467442130154,0.019383234375762663,0.0,0.0
longitudinal,0.88,0.35,0.06,0.4,12,0.4,0.35,0.5,0.35,0.5,20,5,5,true,0.85,0.09297096320895033,8.91,0.7994061295736979,0.026871596035138137,0.0018190235264762883,0.4981803088999453,0.028804442719547473,0.4953440993925765,0.029467939703250245,0.33430753003640806,0.020770462910550284,0.0,0.0
longitudinal,0.88,0.35,0.06,0.45,12,0.2,0.35,0.5,0.35,0.5,20,5,5,true,0.87,0.04997039123320927,9.44,0.6939341179103389,0.033461023974725605,0.0018671007537450102,0.4714645090524038,0.025384964624682545,0.4709399961479957,0.027521172326621088,0.2207338714549892,0.010361255613710497,0.0,0.0
longitudinal,0.88,0.35,0.06,0.45,12,0.3,0.35,0.5,0.35,0.5,20,5,5,true,0.8400000000000001,0.04800999895855027,10.07,1.0020949256432747,0.03172231938503147,0.0028226661962051976,0.4908285289392227,0.047918948227864216,0.4901103580174329,0.04804932995595571,0.2814770373862642,0.031091432778265458,0.0,0.0
longitudinal,0.88,0.35,0.06,0.45,12,0.4,0.35,0.5,0.35,0.5,20,5,5,true,0.83,0.06646683383462759,9.46,1.43475480832092,0.028783816406632134,0.003354216561454923,0.5209150184154281,0.023858570531097894,0.5222175835576173,0.023503416737058785,0.34430531140332177,0.02899616116014012,0.0,0.0
longitudinal,0.88,0.35,0.06,0.5,12,0.2,0.35,0.5,0.35,0.5,20,5,5,true,0.87,0.11000472717115387,12.92,1.5739910546124458,0.04143169030641331,0.0037834071758679768,0.47260210393068813,0.06112017726380161,0.4749180658868497,0.0626716897652328,0.21958701727082994,0.03353224583608278,0.0,0.0
longitudinal,0.88,0.35,0.06,0.5,12,0.3,0.35,0.5,0.35,0.5,20,5,5,true,0.88,0.06646683383462762,10.82,1.8989254435074587,0.03408801136606295,0.004692758852497746,0.4926684694791203,0.05549917369688008,0.4948896107907708,0.05719432677162745,0.282226086817769,0.03766417308539813,0.0,0.0
longitudinal,0.88,0.35,0.06,0.5,12,0.4,0.35,0.5,0.35,0.5,20,5,5,true,0.91,0.08430278761701773,8.41,1.1564000000000003,0.026878255090581223,0.0021092917559348383,0.4730564122457491,0.04138046174318837,0.476359307715822,0.042546449738152546,0.31867957391857726,0.027475668863469818,0.0,0.0
longitudinal,0.88,0.35,0.08,0.4,12,0.2,0.35,0.5,0.35,0.5,20,5,5,true,0.82,0.07333648478076923,12.28,2.8261745593646546,0.04086890765139704,0.005123553759629561,0.4464551553643741,0.06671748791472326,0.4439295469716277,0.06741073515832095,0.20532110932335448,0.03583306132241147,0.0,0.0
longitudinal,0.88,0.35,0.08,0.4,12,0.3,0.35,0.5,0.35,0.5,20,5,5,true,0.88,0.14402999687565085,11.36,1.5766735109083303,0.034351884421323184,0.00462299578483993,0.4906429188233299,0.024978252829484543,0.487773319895793,0.024849231034558755,0.274442513573997,0.02252794961819238,0.0,0.0
longitudinal,0.88,0.35,0.08,0.4,12,0.4,0.35,0.5,0.35,0.5,20,5,5,true,0.88,0.06646683383462762,10.69,2.8923119057252458,0.030720965105127115,0.006202971838875168,0.5232047951900192,0.05685018837026485,0.5212507753275274,0.056726863219615946,0.35052026522911073,0.04017628202516914,0.0,0.0
longitudinal,0.88,0.35,0.08,0.45,12,0.2,0.35,0.5,0.35,0.5,20,5,5,true,0.89,0.05714332856948391,11.21,1.1320590797303827,0.0341995722366202,0.00421910552624504,0.49008985077364,0.05554256446456803,0.4913324778651554,0.055027095932300006,0.23324605560071554,0.029130456604667836,0.0,0.0
