train_seed,candidate,frontend,mode,episodes,success_rate,clean_success_rate,mean_reward,mean_episode_cost,mean_cost_rate,crash_rate,out_of_road_rate,out_of_time_rate,intervention_ratio,mean_action_distortion,success_delta,clean_success_delta,reward_delta,episode_cost_reduction,crash_rate_reduction,out_of_road_reduction,baseline_dominant_gain,safe_success_gain,score
0,none,none,qpsl+none,100,0.69,0.07,317.04051299255485,14.63,0.04942301674582597,0.88,0.32,0.0,0.0,0.0,,,,,,,,,
0,nocicim_close_range,nocicim_risk_field,qpsl+nocicim_close_range,100,0.77,0.06,324.038332924972,11.07,0.029569545923844455,0.9,0.19,0.0,0.16913693640337907,0.1653516155382196,0.08000000000000007,-0.010000000000000009,6.997819932417144,3.5600000000000005,-0.020000000000000018,0.13,0,1,16.669890996620865
1,none,none,qpsl+none,100,0.85,0.1,333.1885934373071,16.73,0.04926346078668427,0.88,0.14,0.0,0.0,0.0,,,,,,,,,
1,nocicim_close_range,nocicim_risk_field,qpsl+nocicim_close_range,100,0.85,0.08,334.946191027225,10.1,0.02715960850481196,0.89,0.11,0.0,0.1503326987708088,0.1749562382513915,0.0,-0.020000000000000004,1.757597589917907,6.630000000000001,-0.010000000000000009,0.030000000000000013,0,1,12.047879879495897
2,none,none,qpsl+none,100,0.83,0.13,326.55176650092585,14.78,0.04550598126650884,0.82,0.17,0.0,0.0,0.0,,,,,,,,,
2,nocicim_close_range,nocicim_risk_field,qpsl+nocicim_close_range,100,0.78,0.11,320.82860892598745,10.03,0.026393734837273263,0.84,0.18,0.0,0.19912729037242444,0.17454399021639083,-0.04999999999999993,-0.020000000000000004,-5.723157574938398,4.75,-0.020000000000000018,-0.009999999999999981,0,0,1.8138421212530864
3,none,none,qpsl+none,100,0.81,0.04,323.3396204068944,18.46,0.05647900452143013,0.91,0.18,0.0,0.0,0.0,,,,,,,,,
3,nocicim_close_range,nocicim_risk_field,qpsl+nocicim_close_range,100,0.9,0.09,338.0166622973232,11.11,0.028448845355468984,0.86,0.08,0.0,0.16907851558622589,0.15814545906572625,0.08999999999999997,0.049999999999999996,14.677041890428768,7.350000000000001,0.050000000000000044,0.09999999999999999,1,1,31.933852094521438
4,none,none,qpsl+none,100,0.89,0.09,339.18429715625194,15.85,0.04889226591075059,0.87,0.13,0.0,0.0,0.0,,,,,,,,,
4,nocicim_close_range,nocicim_risk_field,qpsl+nocicim_close_range,100,0.94,0.11,349.05150787120823,9.49,0.02565624430981203,0.89,0.06,0.0,0.12677007505904409,0.11159787339254493,0.04999999999999993,0.020000000000000004,9.867210714956286,6.359999999999999,-0.020000000000000018,0.07,1,1,20.613360535747805
