Running full paper-style training: tag=paper_1m_20260629 algo=lag seed=2 task=12
Successfully registered the following environments: ['MetaDrive-validation-v0', 'MetaDrive-10env-v0', 'MetaDrive-100envs-v0', 'MetaDrive-1000envs-v0', 'SafeMetaDrive-validation-v0', 'SafeMetaDrive-10env-v0', 'SafeMetaDrive-100envs-v0', 'SafeMetaDrive-1000envs-v0', 'MARLTollgate-v0', 'MARLBottleneck-v0', 'MARLRoundabout-v0', 'MARLIntersection-v0', 'MARLParkingLot-v0', 'MARLMetaDrive-v0'].
arrive destination: False ,out of road:False   Total T: 1000 Episode Num: 1 Episode T: 1000 Reward: 11.704 Cost: 0.000
arrive destination: False ,out of road:False   Total T: 2000 Episode Num: 2 Episode T: 1000 Reward: 11.147 Cost: 0.000
arrive destination: False ,out of road:False   Total T: 3000 Episode Num: 3 Episode T: 1000 Reward: 13.883 Cost: 0.000
arrive destination: False ,out of road:True   Total T: 3966 Episode Num: 4 Episode T: 966 Reward: 4.245 Cost: 1.000
arrive destination: False ,out of road:False   Total T: 4966 Episode Num: 5 Episode T: 1000 Reward: 9.661 Cost: 0.000
arrive destination: False ,out of road:False   Total T: 5966 Episode Num: 6 Episode T: 1000 Reward: 12.549 Cost: 0.000
arrive destination: False ,out of road:False   Total T: 6966 Episode Num: 7 Episode T: 1000 Reward: 8.820 Cost: 0.000
arrive destination: False ,out of road:False   Total T: 7966 Episode Num: 8 Episode T: 1000 Reward: 11.369 Cost: 0.000
arrive destination: False ,out of road:False   Total T: 8966 Episode Num: 9 Episode T: 1000 Reward: 10.078 Cost: 0.000
arrive destination: False ,out of road:False   Total T: 9966 Episode Num: 10 Episode T: 1000 Reward: 12.617 Cost: 0.000
---------------------------------------
Evaluation over 20 episodes: 0.000 Cost 0.700.             SafeRL used : use_lag
---------------------------------------
[34;1m
Time: 2026-06-29 21:43:25, Time spent from previous logger: 76.433 s[0m
[34;1mCustomLogger with fileds: ['total_steps', 'EpRet', 'EpCost', 'CostRate'][0m
[34;1mfieldvalues: [10000, 0.0, 0.7, 0.00010001000100010001]
[0m
arrive destination: False ,out of road:True   Total T: 10042 Episode Num: 11 Episode T: 76 Reward: 2.551 Cost: 1.000
arrive destination: False ,out of road:True   Total T: 10069 Episode Num: 12 Episode T: 27 Reward: -2.721 Cost: 1.000
arrive destination: False ,out of road:True   Total T: 10095 Episode Num: 13 Episode T: 26 Reward: -3.133 Cost: 1.000
arrive destination: False ,out of road:True   Total T: 10156 Episode Num: 14 Episode T: 61 Reward: 30.146 Cost: 1.000
arrive destination: False ,out of road:True   Total T: 10193 Episode Num: 15 Episode T: 37 Reward: 5.689 Cost: 1.000
arrive destination: False ,out of road:True   Total T: 10217 Episode Num: 16 Episode T: 24 Reward: -2.337 Cost: 1.000
arrive destination: False ,out of road:True   Total T: 10248 Episode Num: 17 Episode T: 31 Reward: 0.250 Cost: 1.000
arrive destination: False ,out of road:True   Total T: 10266 Episode Num: 18 Episode T: 18 Reward: -4.471 Cost: 1.000
arrive destination: False ,out of road:True   Total T: 10299 Episode Num: 19 Episode T: 33 Reward: 1.809 Cost: 1.000
arrive destination: False ,out of road:True   Total T: 10327 Episode Num: 20 Episode T: 28 Reward: -0.541 Cost: 1.000
arrive destination: False ,out of road:True   Total T: 10356 Episode Num: 21 Episode T: 29 Reward: 0.408 Cost: 1.000
arrive destination: False ,out of road:True   Total T: 10383 Episode Num: 22 Episode T: 27 Reward: -1.010 Cost: 1.000
arrive destination: False ,out of road:True   Total T: 10451 Episode Num: 23 Episode T: 68 Reward: 39.418 Cost: 1.000
arrive destination: False ,out of road:True   Total T: 10485 Episode Num: 24 Episode T: 34 Reward: 2.950 Cost: 1.000
arrive destination: False ,out of road:True   Total T: 10543 Episode Num: 25 Episode T: 58 Reward: 29.118 Cost: 1.000
arrive destination: False ,out of road:True   Total T: 10563 Episode Num: 26 Episode T: 20 Reward: -3.951 Cost: 1.000
arrive destination: False ,out of road:True   Total T: 10586 Episode Num: 27 Episode T: 23 Reward: -2.795 Cost: 1.000
arrive destination: False ,out of road:True   Total T: 10604 Episode Num: 28 Episode T: 18 Reward: -4.618 Cost: 1.000
arrive destination: False ,out of road:True   Total T: 10632 Episode Num: 29 Episode T: 28 Reward: -0.483 Cost: 1.000
arrive destination: False ,out of road:True   Total T: 10686 Episode Num: 30 Episode T: 54 Reward: 20.688 Cost: 1.000
arrive destination: False ,out of road:True   Total T: 10721 Episode Num: 31 Episode T: 35 Reward: 2.838 Cost: 1.000
arrive destination: False ,out of road:True   Total T: 10755 Episode Num: 32 Episode T: 34 Reward: 1.824 Cost: 1.000
arrive destination: False ,out of road:True   Total T: 10775 Episode Num: 33 Episode T: 20 Reward: -3.924 Cost: 1.000
arrive destination: False ,out of road:True   Total T: 10809 Episode Num: 34 Episode T: 34 Reward: 2.370 Cost: 1.000
arrive destination: False ,out of road:True   Total T: 10854 Episode Num: 35 Episode T: 45 Reward: 11.526 Cost: 1.000
arrive destination: False ,out of road:True   Total T: 10886 Episode Num: 36 Episode T: 32 Reward: 1.243 Cost: 1.000
arrive destination: False ,out of road:True   Total T: 10922 Episode Num: 37 Episode T: 36 Reward: 1.947 Cost: 1.000
arrive destination: False ,out of road:True   Total T: 10942 Episode Num: 38 Episode T: 20 Reward: -3.902 Cost: 1.000
arrive destination: False ,out of road:True   Total T: 10971 Episode Num: 39 Episode T: 29 Reward: -0.775 Cost: 1.000
arrive destination: False ,out of road:True   Total T: 11027 Episode Num: 40 Episode T: 56 Reward: 23.874 Cost: 1.000
arrive destination: False ,out of road:True   Total T: 11064 Episode Num: 41 Episode T: 37 Reward: 3.910 Cost: 1.000
arrive destination: False ,out of road:True   Total T: 11096 Episode Num: 42 Episode T: 32 Reward: 1.194 Cost: 1.000
arrive destination: False ,out of road:True   Total T: 11131 Episode Num: 43 Episode T: 35 Reward: 3.473 Cost: 1.000
arrive destination: False ,out of road:True   Total T: 11164 Episode Num: 44 Episode T: 33 Reward: -1.100 Cost: 1.000
arrive destination: False ,out of road:True   Total T: 11183 Episode Num: 45 Episode T: 19 Reward: -4.267 Cost: 1.000
arrive destination: False ,out of road:True   Total T: 11216 Episode Num: 46 Episode T: 33 Reward: 2.173 Cost: 1.000
arrive destination: False ,out of road:True   Total T: 11254 Episode Num: 47 Episode T: 38 Reward: 5.872 Cost: 1.000
arrive destination: False ,out of road:True   Total T: 11306 Episode Num: 48 Episode T: 52 Reward: 19.064 Cost: 1.000
arrive destination: False ,out of road:True   Total T: 11342 Episode Num: 49 Episode T: 36 Reward: 3.404 Cost: 1.000
arrive destination: False ,out of road:True   Total T: 11378 Episode Num: 50 Episode T: 36 Reward: 3.927 Cost: 1.000
arrive destination: False ,out of road:True   Total T: 11424 Episode Num: 51 Episode T: 46 Reward: 12.494 Cost: 1.000
arrive destination: False ,out of road:True   Total T: 11479 Episode Num: 52 Episode T: 55 Reward: 21.265 Cost: 1.000
arrive destination: False ,out of road:True   Total T: 11512 Episode Num: 53 Episode T: 33 Reward: 2.006 Cost: 1.000
arrive destination: False ,out of road:True   Total T: 11553 Episode Num: 54 Episode T: 41 Reward: 7.955 Cost: 1.000
arrive destination: False ,out of road:True   Total T: 11595 Episode Num: 55 Episode T: 42 Reward: 7.749 Cost: 1.000
arrive destination: False ,out of road:True   Total T: 11635 Episode Num: 56 Episode T: 40 Reward: 6.210 Cost: 1.000
arrive destination: False ,out of road:True   Total T: 11678 Episode Num: 57 Episode T: 43 Reward: 10.375 Cost: 1.000
arrive destination: False ,out of road:True   Total T: 11725 Episode Num: 58 Episode T: 47 Reward: 14.936 Cost: 1.000
arrive destination: False ,out of road:True   Total T: 11784 Episode Num: 59 Episode T: 59 Reward: 24.622 Cost: 1.000
arrive destination: False ,out of road:True   Total T: 11839 Episode Num: 60 Episode T: 55 Reward: 20.762 Cost: 1.000
arrive destination: False ,out of road:True   Total T: 11909 Episode Num: 61 Episode T: 70 Reward: 40.364 Cost: 1.000
arrive destination: False ,out of road:True   Total T: 11956 Episode Num: 62 Episode T: 47 Reward: 14.848 Cost: 1.000
arrive destination: False ,out of road:True   Total T: 12015 Episode Num: 63 Episode T: 59 Reward: 29.305 Cost: 1.000
arrive destination: False ,out of road:True   Total T: 12042 Episode Num: 64 Episode T: 27 Reward: -0.818 Cost: 1.000
arrive destination: False ,out of road:True   Total T: 12075 Episode Num: 65 Episode T: 33 Reward: 2.074 Cost: 1.000
arrive destination: False ,out of road:True   Total T: 12119 Episode Num: 66 Episode T: 44 Reward: 12.220 Cost: 1.000
arrive destination: False ,out of road:True   Total T: 12194 Episode Num: 67 Episode T: 75 Reward: 49.763 Cost: 1.000
arrive destination: False ,out of road:True   Total T: 12228 Episode Num: 68 Episode T: 34 Reward: 3.096 Cost: 1.000
arrive destination: False ,out of road:True   Total T: 12296 Episode Num: 69 Episode T: 68 Reward: 43.557 Cost: 1.000
arrive destination: False ,out of road:True   Total T: 12340 Episode Num: 70 Episode T: 44 Reward: 10.872 Cost: 1.000
arrive destination: False ,out of road:True   Total T: 12392 Episode Num: 71 Episode T: 52 Reward: 18.683 Cost: 1.000
arrive destination: False ,out of road:True   Total T: 12459 Episode Num: 72 Episode T: 67 Reward: 37.417 Cost: 1.000
arrive destination: False ,out of road:True   Total T: 12521 Episode Num: 73 Episode T: 62 Reward: 34.345 Cost: 1.000
arrive destination: False ,out of road:True   Total T: 12563 Episode Num: 74 Episode T: 42 Reward: 8.726 Cost: 1.000
arrive destination: False ,out of road:True   Total T: 12622 Episode Num: 75 Episode T: 59 Reward: 26.314 Cost: 1.000
arrive destination: False ,out of road:True   Total T: 12701 Episode Num: 76 Episode T: 79 Reward: 58.148 Cost: 1.000
arrive destination: False ,out of road:True   Total T: 12737 Episode Num: 77 Episode T: 36 Reward: 4.469 Cost: 1.000
arrive destination: False ,out of road:True   Total T: 12803 Episode Num: 78 Episode T: 66 Reward: 40.673 Cost: 1.000
arrive destination: False ,out of road:True   Total T: 12866 Episode Num: 79 Episode T: 63 Reward: 32.162 Cost: 1.000
arrive destination: True ,out of road:False   Total T: 13195 Episode Num: 80 Episode T: 329 Reward: 336.037 Cost: 51.000
arrive destination: True ,out of road:False   Total T: 13439 Episode Num: 81 Episode T: 244 Reward: 289.034 Cost: 23.000
arrive destination: False ,out of road:True   Total T: 13495 Episode Num: 82 Episode T: 56 Reward: 17.589 Cost: 1.000
arrive destination: False ,out of road:True   Total T: 13584 Episode Num: 83 Episode T: 89 Reward: 74.544 Cost: 1.000
arrive destination: False ,out of road:True   Total T: 13651 Episode Num: 84 Episode T: 67 Reward: 39.893 Cost: 1.000
arrive destination: False ,out of road:True   Total T: 13828 Episode Num: 85 Episode T: 177 Reward: 145.561 Cost: 8.000
arrive destination: False ,out of road:True   Total T: 13909 Episode Num: 86 Episode T: 81 Reward: 54.138 Cost: 1.000
arrive destination: False ,out of road:True   Total T: 14006 Episode Num: 87 Episode T: 97 Reward: 78.772 Cost: 1.000
arrive destination: False ,out of road:True   Total T: 14184 Episode Num: 88 Episode T: 178 Reward: 122.767 Cost: 9.000
arrive destination: False ,out of road:True   Total T: 14302 Episode Num: 89 Episode T: 118 Reward: 77.677 Cost: 6.000
arrive destination: False ,out of road:True   Total T: 14451 Episode Num: 90 Episode T: 149 Reward: 121.332 Cost: 20.000
arrive destination: False ,out of road:True   Total T: 14582 Episode Num: 91 Episode T: 131 Reward: 131.472 Cost: 5.000
arrive destination: False ,out of road:True   Total T: 14821 Episode Num: 92 Episode T: 239 Reward: 232.700 Cost: 12.000
arrive destination: False ,out of road:True   Total T: 15016 Episode Num: 93 Episode T: 195 Reward: 186.923 Cost: 12.000
arrive destination: False ,out of road:True   Total T: 15166 Episode Num: 94 Episode T: 150 Reward: 94.609 Cost: 15.000
arrive destination: False ,out of road:True   Total T: 15284 Episode Num: 95 Episode T: 118 Reward: 103.977 Cost: 5.000
arrive destination: False ,out of road:True   Total T: 15417 Episode Num: 96 Episode T: 133 Reward: 118.976 Cost: 15.000
arrive destination: False ,out of road:True   Total T: 15683 Episode Num: 97 Episode T: 266 Reward: 256.483 Cost: 43.000
arrive destination: False ,out of road:True   Total T: 15761 Episode Num: 98 Episode T: 78 Reward: 54.584 Cost: 1.000
arrive destination: False ,out of road:True   Total T: 15903 Episode Num: 99 Episode T: 142 Reward: 110.542 Cost: 6.000
arrive destination: True ,out of road:False   Total T: 16082 Episode Num: 100 Episode T: 179 Reward: 269.653 Cost: 4.000
