Running full paper-style training: tag=paper_1m_20260629 algo=lag seed=4 task=14
Successfully registered the following environments: ['MetaDrive-validation-v0', 'MetaDrive-10env-v0', 'MetaDrive-100envs-v0', 'MetaDrive-1000envs-v0', 'SafeMetaDrive-validation-v0', 'SafeMetaDrive-10env-v0', 'SafeMetaDrive-100envs-v0', 'SafeMetaDrive-1000envs-v0', 'MARLTollgate-v0', 'MARLBottleneck-v0', 'MARLRoundabout-v0', 'MARLIntersection-v0', 'MARLParkingLot-v0', 'MARLMetaDrive-v0'].
arrive destination: False ,out of road:True   Total T: 460 Episode Num: 1 Episode T: 460 Reward: -0.755 Cost: 1.000
arrive destination: False ,out of road:False   Total T: 1460 Episode Num: 2 Episode T: 1000 Reward: 11.304 Cost: 0.000
arrive destination: False ,out of road:False   Total T: 2460 Episode Num: 3 Episode T: 1000 Reward: 11.934 Cost: 0.000
arrive destination: False ,out of road:False   Total T: 3460 Episode Num: 4 Episode T: 1000 Reward: 11.012 Cost: 0.000
arrive destination: False ,out of road:False   Total T: 4460 Episode Num: 5 Episode T: 1000 Reward: 9.956 Cost: 0.000
arrive destination: False ,out of road:False   Total T: 5460 Episode Num: 6 Episode T: 1000 Reward: 11.981 Cost: 0.000
arrive destination: False ,out of road:False   Total T: 6460 Episode Num: 7 Episode T: 1000 Reward: 11.530 Cost: 0.000
arrive destination: False ,out of road:False   Total T: 7460 Episode Num: 8 Episode T: 1000 Reward: 11.440 Cost: 0.000
arrive destination: False ,out of road:False   Total T: 8460 Episode Num: 9 Episode T: 1000 Reward: 12.241 Cost: 0.000
arrive destination: False ,out of road:False   Total T: 9460 Episode Num: 10 Episode T: 1000 Reward: 10.421 Cost: 0.000
---------------------------------------
Evaluation over 20 episodes: 0.000 Cost 1.000.             SafeRL used : use_lag
---------------------------------------
[34;1m
Time: 2026-06-29 21:47:09, Time spent from previous logger: 43.318 s[0m
[34;1mCustomLogger with fileds: ['total_steps', 'EpRet', 'EpCost', 'CostRate'][0m
[34;1mfieldvalues: [10000, 0.0, 1.0, 0.00010001000100010001]
[0m
arrive destination: False ,out of road:True   Total T: 10069 Episode Num: 11 Episode T: 609 Reward: 34.053 Cost: 1.000
arrive destination: False ,out of road:True   Total T: 10111 Episode Num: 12 Episode T: 42 Reward: 9.891 Cost: 1.000
arrive destination: False ,out of road:True   Total T: 10176 Episode Num: 13 Episode T: 65 Reward: 33.161 Cost: 1.000
arrive destination: False ,out of road:True   Total T: 10216 Episode Num: 14 Episode T: 40 Reward: 7.906 Cost: 1.000
arrive destination: False ,out of road:True   Total T: 10246 Episode Num: 15 Episode T: 30 Reward: 0.897 Cost: 1.000
arrive destination: False ,out of road:True   Total T: 10279 Episode Num: 16 Episode T: 33 Reward: 2.372 Cost: 1.000
arrive destination: False ,out of road:True   Total T: 10326 Episode Num: 17 Episode T: 47 Reward: 14.773 Cost: 1.000
arrive destination: False ,out of road:True   Total T: 10345 Episode Num: 18 Episode T: 19 Reward: -4.285 Cost: 1.000
arrive destination: False ,out of road:True   Total T: 10392 Episode Num: 19 Episode T: 47 Reward: 14.610 Cost: 1.000
arrive destination: False ,out of road:True   Total T: 10414 Episode Num: 20 Episode T: 22 Reward: -3.260 Cost: 1.000
arrive destination: False ,out of road:True   Total T: 10467 Episode Num: 21 Episode T: 53 Reward: 21.246 Cost: 1.000
arrive destination: False ,out of road:True   Total T: 10523 Episode Num: 22 Episode T: 56 Reward: 23.440 Cost: 1.000
arrive destination: False ,out of road:True   Total T: 10636 Episode Num: 23 Episode T: 113 Reward: 102.230 Cost: 6.000
arrive destination: False ,out of road:True   Total T: 10667 Episode Num: 24 Episode T: 31 Reward: 1.082 Cost: 1.000
arrive destination: False ,out of road:True   Total T: 10709 Episode Num: 25 Episode T: 42 Reward: 10.175 Cost: 1.000
arrive destination: False ,out of road:True   Total T: 10742 Episode Num: 26 Episode T: 33 Reward: 2.071 Cost: 1.000
arrive destination: False ,out of road:True   Total T: 10776 Episode Num: 27 Episode T: 34 Reward: 2.509 Cost: 1.000
arrive destination: False ,out of road:True   Total T: 10816 Episode Num: 28 Episode T: 40 Reward: 7.023 Cost: 1.000
arrive destination: False ,out of road:True   Total T: 10845 Episode Num: 29 Episode T: 29 Reward: -0.657 Cost: 1.000
arrive destination: False ,out of road:True   Total T: 10887 Episode Num: 30 Episode T: 42 Reward: 8.962 Cost: 1.000
arrive destination: False ,out of road:True   Total T: 10936 Episode Num: 31 Episode T: 49 Reward: 15.645 Cost: 1.000
arrive destination: False ,out of road:True   Total T: 10977 Episode Num: 32 Episode T: 41 Reward: 9.699 Cost: 1.000
arrive destination: False ,out of road:True   Total T: 11024 Episode Num: 33 Episode T: 47 Reward: 14.323 Cost: 1.000
arrive destination: False ,out of road:True   Total T: 11043 Episode Num: 34 Episode T: 19 Reward: -4.188 Cost: 1.000
arrive destination: False ,out of road:True   Total T: 11107 Episode Num: 35 Episode T: 64 Reward: 37.611 Cost: 1.000
arrive destination: False ,out of road:True   Total T: 11138 Episode Num: 36 Episode T: 31 Reward: 0.819 Cost: 1.000
arrive destination: False ,out of road:True   Total T: 11194 Episode Num: 37 Episode T: 56 Reward: 24.980 Cost: 1.000
arrive destination: False ,out of road:True   Total T: 11254 Episode Num: 38 Episode T: 60 Reward: 28.418 Cost: 1.000
arrive destination: False ,out of road:True   Total T: 11309 Episode Num: 39 Episode T: 55 Reward: 23.325 Cost: 1.000
arrive destination: False ,out of road:True   Total T: 11341 Episode Num: 40 Episode T: 32 Reward: 1.469 Cost: 1.000
arrive destination: False ,out of road:True   Total T: 11378 Episode Num: 41 Episode T: 37 Reward: 4.626 Cost: 1.000
arrive destination: False ,out of road:True   Total T: 11427 Episode Num: 42 Episode T: 49 Reward: 17.310 Cost: 1.000
arrive destination: False ,out of road:True   Total T: 11482 Episode Num: 43 Episode T: 55 Reward: 24.011 Cost: 1.000
arrive destination: False ,out of road:True   Total T: 11561 Episode Num: 44 Episode T: 79 Reward: 61.860 Cost: 1.000
arrive destination: False ,out of road:True   Total T: 11600 Episode Num: 45 Episode T: 39 Reward: 7.322 Cost: 1.000
arrive destination: False ,out of road:True   Total T: 11639 Episode Num: 46 Episode T: 39 Reward: 5.341 Cost: 1.000
arrive destination: False ,out of road:True   Total T: 11669 Episode Num: 47 Episode T: 30 Reward: 0.111 Cost: 1.000
arrive destination: False ,out of road:True   Total T: 11714 Episode Num: 48 Episode T: 45 Reward: 13.227 Cost: 1.000
arrive destination: False ,out of road:True   Total T: 11767 Episode Num: 49 Episode T: 53 Reward: 22.026 Cost: 1.000
arrive destination: False ,out of road:True   Total T: 11852 Episode Num: 50 Episode T: 85 Reward: 56.954 Cost: 1.000
arrive destination: False ,out of road:True   Total T: 11938 Episode Num: 51 Episode T: 86 Reward: 71.986 Cost: 1.000
arrive destination: False ,out of road:True   Total T: 11994 Episode Num: 52 Episode T: 56 Reward: 23.356 Cost: 1.000
arrive destination: False ,out of road:True   Total T: 12087 Episode Num: 53 Episode T: 93 Reward: 86.223 Cost: 13.000
arrive destination: False ,out of road:True   Total T: 12137 Episode Num: 54 Episode T: 50 Reward: 20.005 Cost: 1.000
arrive destination: False ,out of road:True   Total T: 12184 Episode Num: 55 Episode T: 47 Reward: 12.885 Cost: 1.000
arrive destination: False ,out of road:True   Total T: 12243 Episode Num: 56 Episode T: 59 Reward: 29.557 Cost: 1.000
arrive destination: False ,out of road:True   Total T: 12309 Episode Num: 57 Episode T: 66 Reward: 38.247 Cost: 1.000
arrive destination: False ,out of road:True   Total T: 12355 Episode Num: 58 Episode T: 46 Reward: 13.640 Cost: 1.000
arrive destination: False ,out of road:True   Total T: 12473 Episode Num: 59 Episode T: 118 Reward: 122.083 Cost: 1.000
arrive destination: False ,out of road:True   Total T: 12522 Episode Num: 60 Episode T: 49 Reward: 14.986 Cost: 1.000
arrive destination: False ,out of road:True   Total T: 12611 Episode Num: 61 Episode T: 89 Reward: 75.918 Cost: 2.000
arrive destination: False ,out of road:True   Total T: 12834 Episode Num: 62 Episode T: 223 Reward: 233.088 Cost: 19.000
arrive destination: True ,out of road:False   Total T: 13084 Episode Num: 63 Episode T: 250 Reward: 296.016 Cost: 42.000
arrive destination: False ,out of road:True   Total T: 13195 Episode Num: 64 Episode T: 111 Reward: 110.134 Cost: 1.000
arrive destination: False ,out of road:True   Total T: 13303 Episode Num: 65 Episode T: 108 Reward: 100.591 Cost: 3.000
arrive destination: False ,out of road:True   Total T: 13580 Episode Num: 66 Episode T: 277 Reward: 234.973 Cost: 46.000
arrive destination: False ,out of road:True   Total T: 13664 Episode Num: 67 Episode T: 84 Reward: 64.702 Cost: 1.000
arrive destination: False ,out of road:True   Total T: 13739 Episode Num: 68 Episode T: 75 Reward: 44.227 Cost: 1.000
arrive destination: False ,out of road:True   Total T: 13980 Episode Num: 69 Episode T: 241 Reward: 226.994 Cost: 51.000
arrive destination: False ,out of road:True   Total T: 14095 Episode Num: 70 Episode T: 115 Reward: 122.779 Cost: 3.000
arrive destination: False ,out of road:True   Total T: 14205 Episode Num: 71 Episode T: 110 Reward: 100.498 Cost: 5.000
arrive destination: False ,out of road:True   Total T: 14345 Episode Num: 72 Episode T: 140 Reward: 167.661 Cost: 8.000
arrive destination: False ,out of road:True   Total T: 14430 Episode Num: 73 Episode T: 85 Reward: 68.941 Cost: 1.000
arrive destination: False ,out of road:True   Total T: 14527 Episode Num: 74 Episode T: 97 Reward: 93.096 Cost: 1.000
arrive destination: False ,out of road:True   Total T: 14691 Episode Num: 75 Episode T: 164 Reward: 235.679 Cost: 1.000
arrive destination: True ,out of road:True   Total T: 15256 Episode Num: 76 Episode T: 565 Reward: 466.757 Cost: 96.000
arrive destination: False ,out of road:True   Total T: 15335 Episode Num: 77 Episode T: 79 Reward: 53.184 Cost: 1.000
arrive destination: False ,out of road:True   Total T: 15412 Episode Num: 78 Episode T: 77 Reward: 51.400 Cost: 1.000
arrive destination: False ,out of road:True   Total T: 15570 Episode Num: 79 Episode T: 158 Reward: 156.719 Cost: 17.000
arrive destination: True ,out of road:False   Total T: 15827 Episode Num: 80 Episode T: 257 Reward: 335.767 Cost: 21.000
arrive destination: False ,out of road:True   Total T: 15914 Episode Num: 81 Episode T: 87 Reward: 66.351 Cost: 1.000
arrive destination: False ,out of road:True   Total T: 15995 Episode Num: 82 Episode T: 81 Reward: 56.884 Cost: 1.000
arrive destination: False ,out of road:True   Total T: 16139 Episode Num: 83 Episode T: 144 Reward: 149.448 Cost: 2.000
arrive destination: False ,out of road:True   Total T: 16220 Episode Num: 84 Episode T: 81 Reward: 64.792 Cost: 1.000
arrive destination: False ,out of road:True   Total T: 16359 Episode Num: 85 Episode T: 139 Reward: 164.660 Cost: 3.000
arrive destination: False ,out of road:True   Total T: 16469 Episode Num: 86 Episode T: 110 Reward: 104.066 Cost: 1.000
arrive destination: False ,out of road:True   Total T: 16620 Episode Num: 87 Episode T: 151 Reward: 75.772 Cost: 5.000
arrive destination: False ,out of road:True   Total T: 16712 Episode Num: 88 Episode T: 92 Reward: 77.634 Cost: 1.000
arrive destination: False ,out of road:True   Total T: 16790 Episode Num: 89 Episode T: 78 Reward: 56.643 Cost: 1.000
arrive destination: False ,out of road:True   Total T: 16881 Episode Num: 90 Episode T: 91 Reward: 77.970 Cost: 3.000
arrive destination: False ,out of road:True   Total T: 16996 Episode Num: 91 Episode T: 115 Reward: 115.487 Cost: 2.000
arrive destination: False ,out of road:True   Total T: 17167 Episode Num: 92 Episode T: 171 Reward: 152.963 Cost: 9.000
arrive destination: False ,out of road:True   Total T: 17262 Episode Num: 93 Episode T: 95 Reward: 86.892 Cost: 1.000
arrive destination: True ,out of road:False   Total T: 17682 Episode Num: 94 Episode T: 420 Reward: 375.187 Cost: 102.000
arrive destination: False ,out of road:True   Total T: 17761 Episode Num: 95 Episode T: 79 Reward: 53.718 Cost: 1.000
arrive destination: False ,out of road:True   Total T: 17969 Episode Num: 96 Episode T: 208 Reward: 214.557 Cost: 7.000
arrive destination: True ,out of road:False   Total T: 18214 Episode Num: 97 Episode T: 245 Reward: 243.200 Cost: 56.000
arrive destination: False ,out of road:True   Total T: 18440 Episode Num: 98 Episode T: 226 Reward: 214.134 Cost: 34.000
arrive destination: False ,out of road:True   Total T: 18533 Episode Num: 99 Episode T: 93 Reward: 80.300 Cost: 1.000
arrive destination: False ,out of road:True   Total T: 18652 Episode Num: 100 Episode T: 119 Reward: 132.732 Cost: 1.000
arrive destination: True ,out of road:False   Total T: 18902 Episode Num: 101 Episode T: 250 Reward: 295.569 Cost: 22.000
arrive destination: False ,out of road:True   Total T: 19029 Episode Num: 102 Episode T: 127 Reward: 123.647 Cost: 5.000
arrive destination: False ,out of road:True   Total T: 19145 Episode Num: 103 Episode T: 116 Reward: 102.792 Cost: 13.000
arrive destination: False ,out of road:True   Total T: 19244 Episode Num: 104 Episode T: 99 Reward: 93.218 Cost: 1.000
arrive destination: False ,out of road:True   Total T: 19371 Episode Num: 105 Episode T: 127 Reward: 137.055 Cost: 4.000
arrive destination: True ,out of road:False   Total T: 19636 Episode Num: 106 Episode T: 265 Reward: 294.199 Cost: 24.000
arrive destination: False ,out of road:True   Total T: 19719 Episode Num: 107 Episode T: 83 Reward: 63.694 Cost: 1.000
arrive destination: False ,out of road:True   Total T: 19834 Episode Num: 108 Episode T: 115 Reward: 131.035 Cost: 1.000
---------------------------------------
Evaluation over 20 episodes: 0.550 Cost 24.900.             SafeRL used : use_lag
---------------------------------------
[34;1m
Time: 2026-06-29 21:49:09, Time spent from previous logger: 120.160 s[0m
[34;1mCustomLogger with fileds: ['total_steps', 'EpRet', 'EpCost', 'CostRate'][0m
[34;1mfieldvalues: [20000, 0.55, 24.9, 0.035701785089254465]
[0m
arrive destination: True ,out of road:False   Total T: 20277 Episode Num: 109 Episode T: 443 Reward: 502.170 Cost: 62.000
arrive destination: False ,out of road:True   Total T: 20436 Episode Num: 110 Episode T: 159 Reward: 168.602 Cost: 15.000
arrive destination: False ,out of road:True   Total T: 20573 Episode Num: 111 Episode T: 137 Reward: 154.186 Cost: 1.000
arrive destination: False ,out of road:True   Total T: 20653 Episode Num: 112 Episode T: 80 Reward: 57.692 Cost: 1.000
arrive destination: True ,out of road:False   Total T: 20903 Episode Num: 113 Episode T: 250 Reward: 295.382 Cost: 32.000
arrive destination: False ,out of road:True   Total T: 21031 Episode Num: 114 Episode T: 128 Reward: 139.973 Cost: 4.000
arrive destination: False ,out of road:True   Total T: 21181 Episode Num: 115 Episode T: 150 Reward: 103.074 Cost: 21.000
arrive destination: False ,out of road:True   Total T: 21281 Episode Num: 116 Episode T: 100 Reward: 93.445 Cost: 2.000
arrive destination: True ,out of road:False   Total T: 21530 Episode Num: 117 Episode T: 249 Reward: 295.273 Cost: 26.000
arrive destination: True ,out of road:False   Total T: 21808 Episode Num: 118 Episode T: 278 Reward: 267.115 Cost: 37.000
arrive destination: False ,out of road:True   Total T: 21957 Episode Num: 119 Episode T: 149 Reward: 155.343 Cost: 1.000
arrive destination: False ,out of road:True   Total T: 22054 Episode Num: 120 Episode T: 97 Reward: 68.089 Cost: 6.000
arrive destination: False ,out of road:True   Total T: 22160 Episode Num: 121 Episode T: 106 Reward: 104.947 Cost: 1.000
arrive destination: False ,out of road:True   Total T: 22240 Episode Num: 122 Episode T: 80 Reward: 56.672 Cost: 1.000
arrive destination: False ,out of road:True   Total T: 22365 Episode Num: 123 Episode T: 125 Reward: 133.787 Cost: 1.000
arrive destination: True ,out of road:False   Total T: 22551 Episode Num: 124 Episode T: 186 Reward: 269.337 Cost: 2.000
arrive destination: False ,out of road:True   Total T: 22633 Episode Num: 125 Episode T: 82 Reward: 55.713 Cost: 1.000
arrive destination: True ,out of road:False   Total T: 22923 Episode Num: 126 Episode T: 290 Reward: 287.243 Cost: 5.000
arrive destination: False ,out of road:True   Total T: 23148 Episode Num: 127 Episode T: 225 Reward: 232.176 Cost: 1.000
arrive destination: False ,out of road:True   Total T: 23418 Episode Num: 128 Episode T: 270 Reward: 167.464 Cost: 1.000
arrive destination: False ,out of road:True   Total T: 23697 Episode Num: 129 Episode T: 279 Reward: 295.011 Cost: 22.000
arrive destination: False ,out of road:True   Total T: 23817 Episode Num: 130 Episode T: 120 Reward: 135.055 Cost: 1.000
arrive destination: False ,out of road:True   Total T: 24044 Episode Num: 131 Episode T: 227 Reward: 198.182 Cost: 8.000
arrive destination: True ,out of road:False   Total T: 24297 Episode Num: 132 Episode T: 253 Reward: 328.030 Cost: 24.000
arrive destination: False ,out of road:True   Total T: 24437 Episode Num: 133 Episode T: 140 Reward: 173.922 Cost: 4.000
arrive destination: True ,out of road:False   Total T: 24718 Episode Num: 134 Episode T: 281 Reward: 265.518 Cost: 15.000
arrive destination: False ,out of road:True   Total T: 24857 Episode Num: 135 Episode T: 139 Reward: 125.681 Cost: 5.000
arrive destination: False ,out of road:True   Total T: 24977 Episode Num: 136 Episode T: 120 Reward: 135.061 Cost: 1.000
arrive destination: False ,out of road:True   Total T: 25081 Episode Num: 137 Episode T: 104 Reward: 102.924 Cost: 1.000
arrive destination: False ,out of road:True   Total T: 25238 Episode Num: 138 Episode T: 157 Reward: 158.048 Cost: 3.000
arrive destination: False ,out of road:True   Total T: 25507 Episode Num: 139 Episode T: 269 Reward: 236.587 Cost: 1.000
arrive destination: False ,out of road:True   Total T: 25616 Episode Num: 140 Episode T: 109 Reward: 109.259 Cost: 1.000
arrive destination: False ,out of road:True   Total T: 25735 Episode Num: 141 Episode T: 119 Reward: 133.685 Cost: 1.000
arrive destination: False ,out of road:True   Total T: 25871 Episode Num: 142 Episode T: 136 Reward: 172.245 Cost: 4.000
arrive destination: False ,out of road:True   Total T: 26245 Episode Num: 143 Episode T: 374 Reward: 338.735 Cost: 12.000
arrive destination: True ,out of road:False   Total T: 26575 Episode Num: 144 Episode T: 330 Reward: 269.907 Cost: 25.000
arrive destination: False ,out of road:True   Total T: 26709 Episode Num: 145 Episode T: 134 Reward: 142.544 Cost: 7.000
arrive destination: False ,out of road:True   Total T: 26820 Episode Num: 146 Episode T: 111 Reward: 110.087 Cost: 1.000
arrive destination: False ,out of road:True   Total T: 26926 Episode Num: 147 Episode T: 106 Reward: 106.880 Cost: 1.000
