Running full paper-style training: tag=paper_1m_20260629 algo=qpsl seed=3 task=18
Successfully registered the following environments: ['MetaDrive-validation-v0', 'MetaDrive-10env-v0', 'MetaDrive-100envs-v0', 'MetaDrive-1000envs-v0', 'SafeMetaDrive-validation-v0', 'SafeMetaDrive-10env-v0', 'SafeMetaDrive-100envs-v0', 'SafeMetaDrive-1000envs-v0', 'MARLTollgate-v0', 'MARLBottleneck-v0', 'MARLRoundabout-v0', 'MARLIntersection-v0', 'MARLParkingLot-v0', 'MARLMetaDrive-v0'].
arrive destination: False ,out of road:False   Total T: 1000 Episode Num: 1 Episode T: 1000 Reward: 13.475 Cost: 0.000
arrive destination: False ,out of road:False   Total T: 2000 Episode Num: 2 Episode T: 1000 Reward: 10.786 Cost: 0.000
arrive destination: False ,out of road:False   Total T: 3000 Episode Num: 3 Episode T: 1000 Reward: 12.164 Cost: 0.000
arrive destination: False ,out of road:False   Total T: 4000 Episode Num: 4 Episode T: 1000 Reward: 10.602 Cost: 0.000
arrive destination: False ,out of road:False   Total T: 5000 Episode Num: 5 Episode T: 1000 Reward: 11.872 Cost: 0.000
arrive destination: False ,out of road:True   Total T: 5592 Episode Num: 6 Episode T: 592 Reward: 0.694 Cost: 1.000
arrive destination: False ,out of road:False   Total T: 6592 Episode Num: 7 Episode T: 1000 Reward: 10.220 Cost: 0.000
arrive destination: False ,out of road:False   Total T: 7592 Episode Num: 8 Episode T: 1000 Reward: 9.302 Cost: 0.000
arrive destination: False ,out of road:False   Total T: 8592 Episode Num: 9 Episode T: 1000 Reward: 10.786 Cost: 0.000
arrive destination: False ,out of road:False   Total T: 9592 Episode Num: 10 Episode T: 1000 Reward: 11.330 Cost: 0.000
---------------------------------------
Evaluation over 20 episodes: 0.000 Cost 0.000.             SafeRL used : use_qpsl
---------------------------------------
[34;1m
Time: 2026-06-30 01:49:15, Time spent from previous logger: 81.224 s[0m
[34;1mCustomLogger with fileds: ['total_steps', 'EpRet', 'EpCost', 'CostRate'][0m
[34;1mfieldvalues: [10000, 0.0, 0.0, 0.00010001000100010001]
[0m
arrive destination: False ,out of road:True   Total T: 10068 Episode Num: 11 Episode T: 476 Reward: -0.032 Cost: 1.000
arrive destination: False ,out of road:True   Total T: 10094 Episode Num: 12 Episode T: 26 Reward: -3.552 Cost: 1.000
arrive destination: False ,out of road:True   Total T: 10120 Episode Num: 13 Episode T: 26 Reward: -3.545 Cost: 1.000
arrive destination: False ,out of road:True   Total T: 10146 Episode Num: 14 Episode T: 26 Reward: -3.469 Cost: 1.000
arrive destination: False ,out of road:True   Total T: 10172 Episode Num: 15 Episode T: 26 Reward: -3.497 Cost: 1.000
arrive destination: False ,out of road:True   Total T: 10204 Episode Num: 16 Episode T: 32 Reward: -3.309 Cost: 1.000
arrive destination: False ,out of road:True   Total T: 10230 Episode Num: 17 Episode T: 26 Reward: -3.447 Cost: 1.000
arrive destination: False ,out of road:True   Total T: 10245 Episode Num: 18 Episode T: 15 Reward: -5.382 Cost: 1.000
arrive destination: False ,out of road:True   Total T: 10277 Episode Num: 19 Episode T: 32 Reward: -3.262 Cost: 1.000
arrive destination: False ,out of road:True   Total T: 10303 Episode Num: 20 Episode T: 26 Reward: -3.281 Cost: 1.000
arrive destination: False ,out of road:True   Total T: 10329 Episode Num: 21 Episode T: 26 Reward: -3.345 Cost: 1.000
arrive destination: False ,out of road:True   Total T: 10376 Episode Num: 22 Episode T: 47 Reward: 10.198 Cost: 1.000
arrive destination: False ,out of road:True   Total T: 10404 Episode Num: 23 Episode T: 28 Reward: -2.179 Cost: 1.000
arrive destination: False ,out of road:True   Total T: 10430 Episode Num: 24 Episode T: 26 Reward: -3.499 Cost: 1.000
