Running full paper-style training: tag=paper_1m_20260629 algo=qpsl seed=4 task=19
Successfully registered the following environments: ['MetaDrive-validation-v0', 'MetaDrive-10env-v0', 'MetaDrive-100envs-v0', 'MetaDrive-1000envs-v0', 'SafeMetaDrive-validation-v0', 'SafeMetaDrive-10env-v0', 'SafeMetaDrive-100envs-v0', 'SafeMetaDrive-1000envs-v0', 'MARLTollgate-v0', 'MARLBottleneck-v0', 'MARLRoundabout-v0', 'MARLIntersection-v0', 'MARLParkingLot-v0', 'MARLMetaDrive-v0'].
arrive destination: False ,out of road:True   Total T: 553 Episode Num: 1 Episode T: 553 Reward: -0.774 Cost: 1.000
arrive destination: False ,out of road:False   Total T: 1553 Episode Num: 2 Episode T: 1000 Reward: 9.763 Cost: 0.000
arrive destination: False ,out of road:False   Total T: 2553 Episode Num: 3 Episode T: 1000 Reward: 9.306 Cost: 0.000
arrive destination: False ,out of road:False   Total T: 3553 Episode Num: 4 Episode T: 1000 Reward: 12.564 Cost: 0.000
arrive destination: False ,out of road:False   Total T: 4553 Episode Num: 5 Episode T: 1000 Reward: 11.290 Cost: 0.000
arrive destination: False ,out of road:False   Total T: 5553 Episode Num: 6 Episode T: 1000 Reward: 13.469 Cost: 0.000
arrive destination: False ,out of road:False   Total T: 6553 Episode Num: 7 Episode T: 1000 Reward: 12.661 Cost: 0.000
arrive destination: False ,out of road:False   Total T: 7553 Episode Num: 8 Episode T: 1000 Reward: 10.777 Cost: 0.000
arrive destination: False ,out of road:False   Total T: 8553 Episode Num: 9 Episode T: 1000 Reward: 11.437 Cost: 0.000
arrive destination: False ,out of road:True   Total T: 9064 Episode Num: 10 Episode T: 511 Reward: -1.110 Cost: 1.000
---------------------------------------
Evaluation over 20 episodes: 0.000 Cost 1.000.             SafeRL used : use_qpsl
---------------------------------------
[34;1m
Time: 2026-06-30 02:00:01, Time spent from previous logger: 43.944 s[0m
[34;1mCustomLogger with fileds: ['total_steps', 'EpRet', 'EpCost', 'CostRate'][0m
[34;1mfieldvalues: [10000, 0.0, 1.0, 0.00020002000200020003]
[0m
arrive destination: False ,out of road:True   Total T: 10024 Episode Num: 11 Episode T: 960 Reward: 8.798 Cost: 1.000
arrive destination: False ,out of road:True   Total T: 10056 Episode Num: 12 Episode T: 32 Reward: 1.125 Cost: 1.000
