Running full paper-style training: tag=paper_1m_20260629 algo=recovery seed=4 task=24
Successfully registered the following environments: ['MetaDrive-validation-v0', 'MetaDrive-10env-v0', 'MetaDrive-100envs-v0', 'MetaDrive-1000envs-v0', 'SafeMetaDrive-validation-v0', 'SafeMetaDrive-10env-v0', 'SafeMetaDrive-100envs-v0', 'SafeMetaDrive-1000envs-v0', 'MARLTollgate-v0', 'MARLBottleneck-v0', 'MARLRoundabout-v0', 'MARLIntersection-v0', 'MARLParkingLot-v0', 'MARLMetaDrive-v0'].
arrive destination: False ,out of road:False   Total T: 1000 Episode Num: 1 Episode T: 1000 Reward: 11.901 Cost: 0.000
arrive destination: False ,out of road:True   Total T: 1585 Episode Num: 2 Episode T: 585 Reward: 1.279 Cost: 1.000
arrive destination: False ,out of road:False   Total T: 2585 Episode Num: 3 Episode T: 1000 Reward: 11.110 Cost: 0.000
arrive destination: False ,out of road:False   Total T: 3585 Episode Num: 4 Episode T: 1000 Reward: 10.023 Cost: 0.000
arrive destination: False ,out of road:False   Total T: 4585 Episode Num: 5 Episode T: 1000 Reward: 11.718 Cost: 0.000
arrive destination: False ,out of road:False   Total T: 5585 Episode Num: 6 Episode T: 1000 Reward: 12.809 Cost: 0.000
arrive destination: False ,out of road:False   Total T: 6585 Episode Num: 7 Episode T: 1000 Reward: 12.171 Cost: 0.000
arrive destination: False ,out of road:False   Total T: 7585 Episode Num: 8 Episode T: 1000 Reward: 12.355 Cost: 0.000
arrive destination: False ,out of road:False   Total T: 8585 Episode Num: 9 Episode T: 1000 Reward: 10.516 Cost: 0.000
arrive destination: False ,out of road:False   Total T: 9585 Episode Num: 10 Episode T: 1000 Reward: 9.429 Cost: 0.000
---------------------------------------
Evaluation over 20 episodes: 0.000 Cost 0.000.             SafeRL used : use_recovery
---------------------------------------
[34;1m
Time: 2026-06-30 06:06:22, Time spent from previous logger: 84.111 s[0m
[34;1mCustomLogger with fileds: ['total_steps', 'EpRet', 'EpCost', 'CostRate'][0m
[34;1mfieldvalues: [10000, 0.0, 0.0, 0.00010001000100010001]
[0m
arrive destination: False ,out of road:True   Total T: 10025 Episode Num: 11 Episode T: 440 Reward: 0.771 Cost: 1.000
arrive destination: False ,out of road:True   Total T: 10043 Episode Num: 12 Episode T: 18 Reward: -4.672 Cost: 1.000
arrive destination: False ,out of road:True   Total T: 10071 Episode Num: 13 Episode T: 28 Reward: -2.228 Cost: 1.000
arrive destination: False ,out of road:True   Total T: 10095 Episode Num: 14 Episode T: 24 Reward: -2.471 Cost: 1.000
arrive destination: False ,out of road:True   Total T: 10121 Episode Num: 15 Episode T: 26 Reward: -3.388 Cost: 1.000
arrive destination: False ,out of road:True   Total T: 10136 Episode Num: 16 Episode T: 15 Reward: -5.365 Cost: 1.000
arrive destination: False ,out of road:True   Total T: 10162 Episode Num: 17 Episode T: 26 Reward: -3.452 Cost: 1.000
arrive destination: False ,out of road:True   Total T: 10194 Episode Num: 18 Episode T: 32 Reward: -3.309 Cost: 1.000
arrive destination: False ,out of road:True   Total T: 10220 Episode Num: 19 Episode T: 26 Reward: -3.383 Cost: 1.000
arrive destination: False ,out of road:True   Total T: 10253 Episode Num: 20 Episode T: 33 Reward: -2.382 Cost: 1.000
arrive destination: False ,out of road:True   Total T: 10295 Episode Num: 21 Episode T: 42 Reward: 0.479 Cost: 1.000
arrive destination: False ,out of road:True   Total T: 10391 Episode Num: 22 Episode T: 96 Reward: 8.240 Cost: 1.000
arrive destination: False ,out of road:True   Total T: 10492 Episode Num: 23 Episode T: 101 Reward: 3.272 Cost: 1.000
arrive destination: False ,out of road:True   Total T: 10551 Episode Num: 24 Episode T: 59 Reward: 20.626 Cost: 1.000
arrive destination: False ,out of road:True   Total T: 10678 Episode Num: 25 Episode T: 127 Reward: 27.427 Cost: 1.000
arrive destination: False ,out of road:True   Total T: 10706 Episode Num: 26 Episode T: 28 Reward: -2.054 Cost: 1.000
arrive destination: False ,out of road:True   Total T: 10768 Episode Num: 27 Episode T: 62 Reward: 27.251 Cost: 1.000
arrive destination: False ,out of road:True   Total T: 10824 Episode Num: 28 Episode T: 56 Reward: 19.414 Cost: 1.000
arrive destination: False ,out of road:True   Total T: 10879 Episode Num: 29 Episode T: 55 Reward: 16.092 Cost: 1.000
arrive destination: False ,out of road:True   Total T: 10902 Episode Num: 30 Episode T: 23 Reward: -3.016 Cost: 1.000
arrive destination: False ,out of road:True   Total T: 10937 Episode Num: 31 Episode T: 35 Reward: 3.727 Cost: 1.000
arrive destination: False ,out of road:True   Total T: 10955 Episode Num: 32 Episode T: 18 Reward: -4.565 Cost: 1.000
arrive destination: False ,out of road:True   Total T: 10999 Episode Num: 33 Episode T: 44 Reward: 10.922 Cost: 1.000
arrive destination: False ,out of road:True   Total T: 11039 Episode Num: 34 Episode T: 40 Reward: 6.438 Cost: 1.000
arrive destination: False ,out of road:True   Total T: 11081 Episode Num: 35 Episode T: 42 Reward: 7.766 Cost: 1.000
arrive destination: False ,out of road:True   Total T: 11125 Episode Num: 36 Episode T: 44 Reward: 10.324 Cost: 1.000
arrive destination: False ,out of road:True   Total T: 11157 Episode Num: 37 Episode T: 32 Reward: 0.682 Cost: 1.000
arrive destination: False ,out of road:True   Total T: 11208 Episode Num: 38 Episode T: 51 Reward: 17.908 Cost: 1.000
arrive destination: False ,out of road:True   Total T: 11249 Episode Num: 39 Episode T: 41 Reward: 6.112 Cost: 1.000
