Running full paper-style training: tag=paper_1m_20260629 algo=fac seed=0 task=25
Successfully registered the following environments: ['MetaDrive-validation-v0', 'MetaDrive-10env-v0', 'MetaDrive-100envs-v0', 'MetaDrive-1000envs-v0', 'SafeMetaDrive-validation-v0', 'SafeMetaDrive-10env-v0', 'SafeMetaDrive-100envs-v0', 'SafeMetaDrive-1000envs-v0', 'MARLTollgate-v0', 'MARLBottleneck-v0', 'MARLRoundabout-v0', 'MARLIntersection-v0', 'MARLParkingLot-v0', 'MARLMetaDrive-v0'].
arrive destination: False ,out of road:True   Total T: 539 Episode Num: 1 Episode T: 539 Reward: -2.038 Cost: 1.000
arrive destination: False ,out of road:False   Total T: 1539 Episode Num: 2 Episode T: 1000 Reward: 9.967 Cost: 0.000
arrive destination: False ,out of road:False   Total T: 2539 Episode Num: 3 Episode T: 1000 Reward: 11.221 Cost: 0.000
arrive destination: False ,out of road:False   Total T: 3539 Episode Num: 4 Episode T: 1000 Reward: 8.643 Cost: 0.000
arrive destination: False ,out of road:False   Total T: 4539 Episode Num: 5 Episode T: 1000 Reward: 11.344 Cost: 0.000
arrive destination: False ,out of road:True   Total T: 4956 Episode Num: 6 Episode T: 417 Reward: -1.124 Cost: 1.000
arrive destination: False ,out of road:False   Total T: 5956 Episode Num: 7 Episode T: 1000 Reward: 9.483 Cost: 0.000
arrive destination: False ,out of road:False   Total T: 6956 Episode Num: 8 Episode T: 1000 Reward: 12.359 Cost: 0.000
arrive destination: False ,out of road:False   Total T: 7956 Episode Num: 9 Episode T: 1000 Reward: 11.038 Cost: 0.000
arrive destination: False ,out of road:False   Total T: 8956 Episode Num: 10 Episode T: 1000 Reward: 12.711 Cost: 0.000
arrive destination: False ,out of road:False   Total T: 9956 Episode Num: 11 Episode T: 1000 Reward: 10.758 Cost: 0.000
---------------------------------------
Evaluation over 20 episodes: 0.000 Cost 1.000.             SafeRL used : use_fac
---------------------------------------
[34;1m
Time: 2026-06-30 06:08:50, Time spent from previous logger: 41.773 s[0m
[34;1mCustomLogger with fileds: ['total_steps', 'EpRet', 'EpCost', 'CostRate'][0m
[34;1mfieldvalues: [10000, 0.0, 1.0, 0.00020002000200020003]
[0m
arrive destination: False ,out of road:True   Total T: 10023 Episode Num: 12 Episode T: 67 Reward: -4.126 Cost: 1.000
arrive destination: False ,out of road:True   Total T: 10039 Episode Num: 13 Episode T: 16 Reward: -5.196 Cost: 1.000
arrive destination: False ,out of road:True   Total T: 10054 Episode Num: 14 Episode T: 15 Reward: -5.310 Cost: 1.000
arrive destination: False ,out of road:True   Total T: 10080 Episode Num: 15 Episode T: 26 Reward: -3.430 Cost: 1.000
arrive destination: False ,out of road:True   Total T: 10106 Episode Num: 16 Episode T: 26 Reward: -3.463 Cost: 1.000
arrive destination: False ,out of road:True   Total T: 10132 Episode Num: 17 Episode T: 26 Reward: -3.521 Cost: 1.000
arrive destination: False ,out of road:True   Total T: 10158 Episode Num: 18 Episode T: 26 Reward: -3.366 Cost: 1.000
arrive destination: False ,out of road:True   Total T: 10184 Episode Num: 19 Episode T: 26 Reward: -3.461 Cost: 1.000
arrive destination: False ,out of road:True   Total T: 10220 Episode Num: 20 Episode T: 36 Reward: 2.255 Cost: 1.000
arrive destination: False ,out of road:True   Total T: 10235 Episode Num: 21 Episode T: 15 Reward: -5.369 Cost: 1.000
arrive destination: False ,out of road:True   Total T: 10261 Episode Num: 22 Episode T: 26 Reward: -3.381 Cost: 1.000
arrive destination: False ,out of road:True   Total T: 10289 Episode Num: 23 Episode T: 28 Reward: -3.381 Cost: 1.000
arrive destination: False ,out of road:True   Total T: 10315 Episode Num: 24 Episode T: 26 Reward: -3.316 Cost: 1.000
arrive destination: False ,out of road:True   Total T: 10348 Episode Num: 25 Episode T: 33 Reward: -1.166 Cost: 1.000
arrive destination: False ,out of road:True   Total T: 10382 Episode Num: 26 Episode T: 34 Reward: -0.552 Cost: 1.000
arrive destination: False ,out of road:True   Total T: 10414 Episode Num: 27 Episode T: 32 Reward: 1.239 Cost: 1.000
arrive destination: False ,out of road:True   Total T: 10446 Episode Num: 28 Episode T: 32 Reward: 0.897 Cost: 1.000
arrive destination: False ,out of road:True   Total T: 10525 Episode Num: 29 Episode T: 79 Reward: 17.359 Cost: 1.000
