Running full paper-style training: tag=paper_1m_20260629 algo=fac seed=3 task=28
Successfully registered the following environments: ['MetaDrive-validation-v0', 'MetaDrive-10env-v0', 'MetaDrive-100envs-v0', 'MetaDrive-1000envs-v0', 'SafeMetaDrive-validation-v0', 'SafeMetaDrive-10env-v0', 'SafeMetaDrive-100envs-v0', 'SafeMetaDrive-1000envs-v0', 'MARLTollgate-v0', 'MARLBottleneck-v0', 'MARLRoundabout-v0', 'MARLIntersection-v0', 'MARLParkingLot-v0', 'MARLMetaDrive-v0'].
arrive destination: False ,out of road:False   Total T: 1000 Episode Num: 1 Episode T: 1000 Reward: 9.943 Cost: 0.000
arrive destination: False ,out of road:False   Total T: 2000 Episode Num: 2 Episode T: 1000 Reward: 9.870 Cost: 0.000
arrive destination: False ,out of road:False   Total T: 3000 Episode Num: 3 Episode T: 1000 Reward: 12.853 Cost: 0.000
arrive destination: False ,out of road:False   Total T: 4000 Episode Num: 4 Episode T: 1000 Reward: 10.964 Cost: 0.000
arrive destination: False ,out of road:False   Total T: 5000 Episode Num: 5 Episode T: 1000 Reward: 11.119 Cost: 0.000
arrive destination: False ,out of road:False   Total T: 6000 Episode Num: 6 Episode T: 1000 Reward: 11.430 Cost: 0.000
arrive destination: False ,out of road:False   Total T: 7000 Episode Num: 7 Episode T: 1000 Reward: 10.508 Cost: 0.000
arrive destination: False ,out of road:False   Total T: 8000 Episode Num: 8 Episode T: 1000 Reward: 12.217 Cost: 0.000
arrive destination: False ,out of road:False   Total T: 9000 Episode Num: 9 Episode T: 1000 Reward: 9.863 Cost: 0.000
arrive destination: False ,out of road:False   Total T: 10000 Episode Num: 10 Episode T: 1000 Reward: 13.405 Cost: 0.000
---------------------------------------
Evaluation over 20 episodes: 0.000 Cost 0.000.             SafeRL used : use_fac
---------------------------------------
[34;1m
Time: 2026-06-30 08:35:05, Time spent from previous logger: 77.483 s[0m
[34;1mCustomLogger with fileds: ['total_steps', 'EpRet', 'EpCost', 'CostRate'][0m
[34;1mfieldvalues: [10000, 0.0, 0.0, 0.0]
[0m
arrive destination: False ,out of road:True   Total T: 10064 Episode Num: 11 Episode T: 64 Reward: -5.250 Cost: 1.000
arrive destination: False ,out of road:True   Total T: 10100 Episode Num: 12 Episode T: 36 Reward: -3.169 Cost: 1.000
arrive destination: False ,out of road:True   Total T: 10127 Episode Num: 13 Episode T: 27 Reward: -3.482 Cost: 1.000
arrive destination: False ,out of road:True   Total T: 10160 Episode Num: 14 Episode T: 33 Reward: -3.014 Cost: 1.000
arrive destination: False ,out of road:True   Total T: 10194 Episode Num: 15 Episode T: 34 Reward: -2.695 Cost: 1.000
arrive destination: False ,out of road:True   Total T: 10234 Episode Num: 16 Episode T: 40 Reward: 4.691 Cost: 1.000
arrive destination: False ,out of road:True   Total T: 10268 Episode Num: 17 Episode T: 34 Reward: -1.724 Cost: 1.000
arrive destination: False ,out of road:True   Total T: 10302 Episode Num: 18 Episode T: 34 Reward: 0.667 Cost: 1.000
arrive destination: False ,out of road:True   Total T: 10333 Episode Num: 19 Episode T: 31 Reward: 1.905 Cost: 1.000
arrive destination: False ,out of road:True   Total T: 10382 Episode Num: 20 Episode T: 49 Reward: 14.054 Cost: 1.000
arrive destination: False ,out of road:True   Total T: 10408 Episode Num: 21 Episode T: 26 Reward: -2.930 Cost: 1.000
arrive destination: False ,out of road:True   Total T: 10433 Episode Num: 22 Episode T: 25 Reward: -3.382 Cost: 1.000
arrive destination: False ,out of road:True   Total T: 10465 Episode Num: 23 Episode T: 32 Reward: -3.302 Cost: 1.000
arrive destination: False ,out of road:True   Total T: 10491 Episode Num: 24 Episode T: 26 Reward: -3.543 Cost: 1.000
arrive destination: False ,out of road:True   Total T: 10517 Episode Num: 25 Episode T: 26 Reward: -3.552 Cost: 1.000
arrive destination: False ,out of road:True   Total T: 10543 Episode Num: 26 Episode T: 26 Reward: -3.454 Cost: 1.000
arrive destination: False ,out of road:True   Total T: 10558 Episode Num: 27 Episode T: 15 Reward: -5.390 Cost: 1.000
arrive destination: False ,out of road:True   Total T: 10584 Episode Num: 28 Episode T: 26 Reward: -3.415 Cost: 1.000
arrive destination: False ,out of road:True   Total T: 10617 Episode Num: 29 Episode T: 33 Reward: -2.887 Cost: 1.000
arrive destination: False ,out of road:True   Total T: 10648 Episode Num: 30 Episode T: 31 Reward: 0.887 Cost: 1.000
arrive destination: False ,out of road:True   Total T: 10694 Episode Num: 31 Episode T: 46 Reward: 13.970 Cost: 1.000
arrive destination: False ,out of road:True   Total T: 10728 Episode Num: 32 Episode T: 34 Reward: 2.962 Cost: 1.000
arrive destination: False ,out of road:True   Total T: 10776 Episode Num: 33 Episode T: 48 Reward: 13.515 Cost: 1.000
