Running full paper-style training: tag=paper_1m_20260629 algo=td3 seed=3 task=3
Successfully registered the following environments: ['MetaDrive-validation-v0', 'MetaDrive-10env-v0', 'MetaDrive-100envs-v0', 'MetaDrive-1000envs-v0', 'SafeMetaDrive-validation-v0', 'SafeMetaDrive-10env-v0', 'SafeMetaDrive-100envs-v0', 'SafeMetaDrive-1000envs-v0', 'MARLTollgate-v0', 'MARLBottleneck-v0', 'MARLRoundabout-v0', 'MARLIntersection-v0', 'MARLParkingLot-v0', 'MARLMetaDrive-v0'].
arrive destination: False ,out of road:False   Total T: 1000 Episode Num: 1 Episode T: 1000 Reward: 12.931 Cost: 0.000
arrive destination: False ,out of road:False   Total T: 2000 Episode Num: 2 Episode T: 1000 Reward: 11.240 Cost: 0.000
arrive destination: False ,out of road:False   Total T: 3000 Episode Num: 3 Episode T: 1000 Reward: 12.426 Cost: 0.000
arrive destination: False ,out of road:False   Total T: 4000 Episode Num: 4 Episode T: 1000 Reward: 10.964 Cost: 0.000
arrive destination: False ,out of road:False   Total T: 5000 Episode Num: 5 Episode T: 1000 Reward: 10.671 Cost: 0.000
arrive destination: False ,out of road:True   Total T: 5665 Episode Num: 6 Episode T: 665 Reward: 1.054 Cost: 1.000
arrive destination: False ,out of road:False   Total T: 6665 Episode Num: 7 Episode T: 1000 Reward: 9.413 Cost: 0.000
arrive destination: False ,out of road:False   Total T: 7665 Episode Num: 8 Episode T: 1000 Reward: 13.272 Cost: 0.000
arrive destination: False ,out of road:False   Total T: 8665 Episode Num: 9 Episode T: 1000 Reward: 12.822 Cost: 0.000
arrive destination: False ,out of road:False   Total T: 9665 Episode Num: 10 Episode T: 1000 Reward: 10.888 Cost: 0.000
---------------------------------------
Evaluation over 20 episodes: 0.000 Cost 0.000.             SafeRL used : use_td3
---------------------------------------
[34;1m
Time: 2026-06-29 13:27:27, Time spent from previous logger: 89.035 s[0m
[34;1mCustomLogger with fileds: ['total_steps', 'EpRet', 'EpCost', 'CostRate'][0m
[34;1mfieldvalues: [10000, 0.0, 0.0, 0.00010001000100010001]
[0m
arrive destination: False ,out of road:True   Total T: 10083 Episode Num: 11 Episode T: 418 Reward: 0.118 Cost: 1.000
arrive destination: False ,out of road:True   Total T: 10098 Episode Num: 12 Episode T: 15 Reward: -5.415 Cost: 1.000
arrive destination: False ,out of road:True   Total T: 10113 Episode Num: 13 Episode T: 15 Reward: -5.401 Cost: 1.000
arrive destination: False ,out of road:True   Total T: 10145 Episode Num: 14 Episode T: 32 Reward: -3.337 Cost: 1.000
arrive destination: False ,out of road:True   Total T: 10171 Episode Num: 15 Episode T: 26 Reward: -3.535 Cost: 1.000
arrive destination: False ,out of road:True   Total T: 10203 Episode Num: 16 Episode T: 32 Reward: -3.223 Cost: 1.000
arrive destination: False ,out of road:True   Total T: 10233 Episode Num: 17 Episode T: 30 Reward: -1.406 Cost: 1.000
arrive destination: False ,out of road:True   Total T: 10265 Episode Num: 18 Episode T: 32 Reward: -3.267 Cost: 1.000
arrive destination: False ,out of road:True   Total T: 10291 Episode Num: 19 Episode T: 26 Reward: -3.527 Cost: 1.000
arrive destination: False ,out of road:True   Total T: 10324 Episode Num: 20 Episode T: 33 Reward: -3.330 Cost: 1.000
arrive destination: False ,out of road:True   Total T: 10339 Episode Num: 21 Episode T: 15 Reward: -5.387 Cost: 1.000
arrive destination: False ,out of road:True   Total T: 10365 Episode Num: 22 Episode T: 26 Reward: -3.235 Cost: 1.000
arrive destination: False ,out of road:True   Total T: 10399 Episode Num: 23 Episode T: 34 Reward: 0.831 Cost: 1.000
arrive destination: False ,out of road:True   Total T: 10425 Episode Num: 24 Episode T: 26 Reward: -3.563 Cost: 1.000
arrive destination: False ,out of road:True   Total T: 10454 Episode Num: 25 Episode T: 29 Reward: -3.361 Cost: 1.000
arrive destination: False ,out of road:True   Total T: 10490 Episode Num: 26 Episode T: 36 Reward: 3.975 Cost: 1.000
arrive destination: False ,out of road:True   Total T: 10524 Episode Num: 27 Episode T: 34 Reward: -0.213 Cost: 1.000
arrive destination: False ,out of road:True   Total T: 10586 Episode Num: 28 Episode T: 62 Reward: 17.553 Cost: 1.000
arrive destination: False ,out of road:True   Total T: 10622 Episode Num: 29 Episode T: 36 Reward: 3.317 Cost: 1.000
arrive destination: False ,out of road:True   Total T: 10672 Episode Num: 30 Episode T: 50 Reward: 12.582 Cost: 1.000
arrive destination: False ,out of road:True   Total T: 10704 Episode Num: 31 Episode T: 32 Reward: 1.273 Cost: 1.000
arrive destination: False ,out of road:True   Total T: 10755 Episode Num: 32 Episode T: 51 Reward: 18.930 Cost: 1.000
arrive destination: False ,out of road:True   Total T: 10794 Episode Num: 33 Episode T: 39 Reward: 6.265 Cost: 1.000
arrive destination: False ,out of road:True   Total T: 10814 Episode Num: 34 Episode T: 20 Reward: -4.006 Cost: 1.000
arrive destination: False ,out of road:True   Total T: 10833 Episode Num: 35 Episode T: 19 Reward: -4.392 Cost: 1.000
arrive destination: False ,out of road:True   Total T: 10885 Episode Num: 36 Episode T: 52 Reward: 19.881 Cost: 1.000
arrive destination: False ,out of road:True   Total T: 10990 Episode Num: 37 Episode T: 105 Reward: 70.569 Cost: 1.000
arrive destination: False ,out of road:True   Total T: 11028 Episode Num: 38 Episode T: 38 Reward: 5.393 Cost: 1.000
arrive destination: False ,out of road:True   Total T: 11066 Episode Num: 39 Episode T: 38 Reward: 3.746 Cost: 1.000
