Running full paper-style training: tag=paper_1m_20260629 algo=epo seed=4 task=9
Successfully registered the following environments: ['MetaDrive-validation-v0', 'MetaDrive-10env-v0', 'MetaDrive-100envs-v0', 'MetaDrive-1000envs-v0', 'SafeMetaDrive-validation-v0', 'SafeMetaDrive-10env-v0', 'SafeMetaDrive-100envs-v0', 'SafeMetaDrive-1000envs-v0', 'MARLTollgate-v0', 'MARLBottleneck-v0', 'MARLRoundabout-v0', 'MARLIntersection-v0', 'MARLParkingLot-v0', 'MARLMetaDrive-v0'].
arrive destination: False ,out of road:True   Total T: 208 Episode Num: 1 Episode T: 208 Reward: -2.667 Cost: 1.000
arrive destination: False ,out of road:False   Total T: 1208 Episode Num: 2 Episode T: 1000 Reward: 12.531 Cost: 0.000
arrive destination: False ,out of road:False   Total T: 2208 Episode Num: 3 Episode T: 1000 Reward: 10.223 Cost: 0.000
arrive destination: False ,out of road:False   Total T: 3208 Episode Num: 4 Episode T: 1000 Reward: 9.506 Cost: 0.000
arrive destination: False ,out of road:False   Total T: 4208 Episode Num: 5 Episode T: 1000 Reward: 10.850 Cost: 0.000
arrive destination: False ,out of road:False   Total T: 5208 Episode Num: 6 Episode T: 1000 Reward: 13.114 Cost: 0.000
arrive destination: False ,out of road:False   Total T: 6208 Episode Num: 7 Episode T: 1000 Reward: 9.722 Cost: 0.000
arrive destination: False ,out of road:False   Total T: 7208 Episode Num: 8 Episode T: 1000 Reward: 11.448 Cost: 0.000
arrive destination: False ,out of road:False   Total T: 8208 Episode Num: 9 Episode T: 1000 Reward: 11.739 Cost: 0.000
arrive destination: False ,out of road:False   Total T: 9208 Episode Num: 10 Episode T: 1000 Reward: 10.145 Cost: 0.000
---------------------------------------
Evaluation over 20 episodes: 0.000 Cost 1.000.             SafeRL used : use_epo
---------------------------------------
[34;1m
Time: 2026-06-29 17:14:09, Time spent from previous logger: 46.313 s[0m
[34;1mCustomLogger with fileds: ['total_steps', 'EpRet', 'EpCost', 'CostRate'][0m
[34;1mfieldvalues: [10000, 0.0, 1.0, 0.00010001000100010001]
[0m
arrive destination: False ,out of road:True   Total T: 10049 Episode Num: 11 Episode T: 841 Reward: 21.442 Cost: 1.000
arrive destination: False ,out of road:True   Total T: 10077 Episode Num: 12 Episode T: 28 Reward: -1.372 Cost: 1.000
arrive destination: False ,out of road:True   Total T: 10125 Episode Num: 13 Episode T: 48 Reward: 13.425 Cost: 1.000
arrive destination: False ,out of road:True   Total T: 10155 Episode Num: 14 Episode T: 30 Reward: 0.571 Cost: 1.000
arrive destination: False ,out of road:True   Total T: 10185 Episode Num: 15 Episode T: 30 Reward: -0.436 Cost: 1.000
arrive destination: False ,out of road:True   Total T: 10214 Episode Num: 16 Episode T: 29 Reward: -1.253 Cost: 1.000
arrive destination: False ,out of road:True   Total T: 10236 Episode Num: 17 Episode T: 22 Reward: -3.221 Cost: 1.000
arrive destination: False ,out of road:True   Total T: 10271 Episode Num: 18 Episode T: 35 Reward: 2.351 Cost: 1.000
